,yorum,duygu
35,Turkcell kadar mal bi operatör yok aq,olumsuz
36,Numaramı değiştiriyorum yeter. Turkcell amk.,olumsuz
37,Cart parası curt parası diye sürekli faturama geçiren turkcell sana da çok sövdüm.,olumsuz
38,30 liraya sınırsız internet yaptırdım sanırım turkcell yine kazık attı yine keklendim arkadaşlar,olumsuz
39,Ve bu köşede de yavaşlıktan ölen bir adet Turkcell,olumsuz
40,Turkcell'in amk niye çekmiyor bu internet,olumsuz
41,Turkcell çekmiyooo kahretsin,olumsuz
42,Turkcell sömürüyor bildiğin,olumsuz
43,Turkcell allah belanı versin,olumsuz
44,turkcell in allah belasını versin bu da ilk bedduamdır,olumsuz
45,"@Turkcell Yalan söyleyen, sigortalı telefonumu sigorta kapsamında değil diyerek geri çeviren Turkcell'den hala ses seda yok",olumsuz
46,Eve geldim hala turkcell deki adama sinirim geçmedi ..,olumsuz
47,Turkcell her yerde çeker diyorsunuz lan evin ortasında şahin pozu aldım yine de çekmiyor,olumsuz
48,Turkcell e gectigim icin pismanim,olumsuz
49,Allahin belası kazık turkcell !!!!,olumsuz
50,İnternet paketini sömürüyor yine allahsız turkcell,olumsuz
51,Turkcelle geçtim turkcell evde çekmiyo aq,olumsuz
52,Ne biçim Turkcell'sin sen ya şehirdeyim çekmiyor.,olumsuz
53,Klozette edge cekiyor turkcell bu ne sacmalik,olumsuz
54,Turkcell abv odam da bile çekmemeye başladın gerçekten,olumsuz
55,Turkcell superonline bok gibisin bok,olumsuz
56,Turkcell urunu kullanirsam en adi serefsizim!,olumsuz
57,Turkcell çekmiyor arkadaşlar inanmayın,olumsuz
58,"Turkcell allah belanı versin, bin yaşa VODAFONE",olumsuz
59,söylesene Turkcell odamda neden çekmiyorsun?,olumsuz
60,hiç bir oparetör dürüst değil turkcell faturama internet paketimi aşmışım diye 13 tl kitledi sözde otamatik duracakdı sahtekarlar,olumsuz
61,ulan bu gerizekalı turkcell kardeşimin öldüğüne dair eve yazı yollamış.,olumsuz
62,Bitmeyen fatura yapmışlar ömrüm sizi ödemekle geçiyor heleki Turkcell Allah senin belanı Tövbe Tövbe ya,olumsuz
63,"turkcell son zamanlarda iyice cortladı. internet hızı rezalet, yer yer hiç çekmiyor. kontratım bittiği an vodafone'a geçeceğim.",olumsuz
64,Bu ay Turkcell'den yemediğim kazığı yedim. 50 lira yükledim ama gelin görünki elde var 0. Bir de şu İMessage uyanıklığı var tabii.,olumsuz
65,Bugün Mutluydum Ama Bu Turkcell beni Sinir etti Şuanda,olumsuz
66,Turkcell benim internetim bu hafta niye böyle yavaş!!!,olumsuz
67,Yıldım vallaha yıldım Allah telefonumun da turkcell'in de belasını versin,olumsuz
68,"Turkcell internet bağlantı hızında açık ara sınıfta kaldı, çok yazık !!! Ne eziyet çekmişim!!!",olumsuz
69,Vodafone gibi Turkcell yapmışlar olmamış bu,olumsuz
70,6 7 senedir turkcell kullanıyorum ama allah belani versin haram zıkkım olsun verdiğim paralar,olumsuz
71,Turkcell Samsun da zor çekiyo adada nasıl çeksin bırakın bu ayakları,olumsuz
72,Turkcell ne geçirdi beeee,olumsuz
73,Turkcell galiba bana gelince internet paketini yavaşlatıyor,olumsuz
74,Hani turkcell heryerde 4 çekerdi metroda telefonla konuşamıyoruz bunu bana biri açıklasın,olumsuz
75,Turkcell reklam mesajları için numaramı sattıgın her firma için Allah belanı versin!!!,olumsuz
76,Ulan turkcell odedigim faturalar haram olsun bole net hızı olmaz olsun!!!,olumsuz
77,yemin ederim bu turkcell müşteri hizmetleri bir ton otistik ve moronla dolu,olumsuz
78,Embesil Turkcell bu saatte mesaj mı yollanır üstüste !,olumsuz
79,Çekim gücüne sövmemek için zor tutuyorum kendimi turkcell,olumsuz
80,Ömrümü yedin turkcell,olumsuz
81,@pelinozgen gayrettepe'nin göbeğinde bırakın 3G'yi edge hızına bile erişemiyor turkcell.. neyin kandırmacası bu?,olumsuz
82,Lan odada avea çekmiyo diye turkcelle geçtim şimdide turkcell çekmiyo avea full başlarım böyle işe,olumsuz
83,Ya benim odamda telefon çekmiyor arkadaşlar.(Turkcell) Resmen 50 yıl geride yaşıyorum ben.,olumsuz
84,"Hattımı tekrar Avea mı alsam, yoksa bu sefer de Vodafone mu denesem. Turkcell'e bulasmıyorum bile. Kafamda deli sorular",olumsuz
85,#turkcell ayricaliklari neymis diye bakabilmek icin #avea hattina muhtac olan ben... evet turkcell dort ceker olayi yalanmis...,olumsuz
86,Turkcell reklamları kadınları neden bu kadar çok aşşağılıyor güllerin içinden yoksa vermez kucaktan kucağa zıplattılar kızı,olumsuz
87,Turkcell türk telekom arena' da bile internetin kağnı gibi.sana verdiğim para haram olsun...,olumsuz
88,"Kandırdın beni turkcell,her şey bitti",olumsuz
89,Yaşasın yarın vodafone'a geçme kararı aldım. turkcell'e para yedirmeye son :DD,olumsuz
90,Ulan on numara mekan sıcak suyum bile var ama şebekem yok amk turkcell vodafone'ye geccem kesin,olumsuz
91,Önemli şahıstan mesaj beklersin beklersin Çat mesj gelir bir an heyecanla o mu acaba diye bakarsın sonra Turkcell olduğunu görünce söversin!,olumsuz
92,8 senedir kullandığım Turkcell numaramı Vodafone'a taşıdım gerçekten iyi bi karar oldu insanları sömürüyorlar ya ücretlendirme normal değil.,olumsuz
93,Turkcell bile ygsye sayılı günler kaldı diye mesaj atıyo. Amacanız bizi çıldırtmak mı?,olumsuz
94,"Geçerken arasından dağların tepelerin, geldi veda zamanı Turkcell 3G'nin.... :/ bu devirde edge mi kaldı yeaa",olumsuz
95,"Turkcell'in reklamlarında müthiş bir kalite düşüklüğü var. Reklam fikri de parlak değil, Prodüksiyon da başarısız.",olumsuz
96,"Turkcell'in hani interneti hızlıydı,kandırıldım",olumsuz
97,Turkcell artık yeter .Bıktırdı reklam ve aday mesajları.24 saat gece gündüz yağıyor.Numaramı satıp sen para kazanıyorsun ben çıldırıyorum.,olumsuz
98,"Yandaş, yalaka hale gelen turkcell kullanmıyorum kullanılmasını tavsiye etmiyorum",olumsuz
99,Turkcell sadece kazikliyosun Hizmet sifir ttnet gibi yolmaya basladin bizi hepinizin Allah belasini versin anca semsiye sokuyosunuz insana,olumsuz
100,Lanet olsun sana Turkcell yaaa ! O kadar para veriyoruz internet Felç ! Hakkını verin Hız limitimi nasıl düşürüyorsun dolandırıcısınız,olumsuz
101,Sabahtan beri net paketi yaptim halde internetimi kullanmadim abv turkcell,olumsuz
102,Turkcell yine çekmiyor. Aldıkları para boşuna,olumsuz
103,Turkcell su kontratım bitsin turkcell mi tövbe,olumsuz
104,"Turkcell'in reklam filmi, Fatih'in Fedaisi Kara Murat filminden daha heyecanlı yeminle... Eziyet resmen",olumsuz
105,beni uğraştıran turkcell ve apple bir tutam küfürü hakettiniz(bedeli ödendi),olumsuz
106,şuan çok sinirliyim aq şu turkcell şerefsizi internet paketimi bitirdikten sonra sosyal paketimden kullanmaya başlayabildim abv,olumsuz
107,Digitürk ttnet turkcell 5 para etmezsiniz alayınızın amk,olumsuz
108,Turkcell denen illet nedir bilirmisin internet paketim bitti benimle gelirmisin.,olumsuz
109,Turkcell internetin bitti diye mesaj atıp durma moralim bozuluyor pislik,olumsuz
110,8 sene bu turkcell in kahrını nasıl çekmişim amk yaa,olumsuz
111,Turkcell daha demin seni övdüm ama şimdi sövüyorum. Yaptığım paket değişmiş whywhyhwy. Abv turkcel,olumsuz
112,Turkcell yeter amk eski sevgilimden daha çok mesaj atıyosun,olumsuz
113,Turkcell'den kurtulmuş biri olarak çok yanlış insanı arıyorsunuz #turkcell,olumsuz
114,turkcell yavaş internette 1 numara,olumsuz
115,Allah belanı versin turkcell,olumsuz
116,Turkcell 3G'nin şu ara sıçtığını düşünüyorum..,olumsuz
117,Turkcell kadar boktan bi operatör görmedim,olumsuz
118,Turkcell fiyat olarak geçirmeyi çok iyi biliyorsun ama hala internet bağlantın leş,olumsuz
119,İnternet paketim dogum günümde bitiyormus ulan Turkcell yine yaptın yapacagını,olumsuz
120,Turkcell kadar kazıkçı bi hat yok,olumsuz
121,Turkcell den bi türlü kurtulamadık abi,olumsuz
122,Turkcell Allah seni bildiği gibi yapsin kampanyalarinla ilgilenmiyorum sırf bu yuzden de hattimi taşıyacam.zaten internetin de cekmiyor,olumsuz
123,Ben Turkcell kadar kazıkçısını görmedim,olumsuz
124,Ayıp ettin turkcell,olumsuz
125,Gözün çıksın turkcell! O parayı sana netin çekmesin diye mi bayıldım,olumsuz
126,Turkcell reklamındaki gençleri gördükçe gençliğimden utanıyorum lan,olumsuz
127,İnternet paketine söveyim turkcell,olumsuz
128,"Avea çekmiyor, Vodafone da tarife yok, Turkcell kazık. Pttcell mi olsam acep lan",olumsuz
129,96kbps hızda internet mi olur turkcell allahsız felan mısın,olumsuz
130,Turkcell sömüre sömüre bi şey bırakmadın be bizde,olumsuz
131,Turkcell bile çekmiyor arkadaş deli etti yada yoğunluk mu var neci,olumsuz
132,Turkcell itina ile 3 gecedir bana sıkıntı yaratıp duruyorsun yeminle canımı sıkıyorsun he,olumsuz
133,RTE den bana bayram mesajı geldiği için turkcell i kınıyorum. Çok pis kınıyorum hem de,olumsuz
134,Turkcell çok yavşaksın,olumsuz
135,Çok utanıyorum ama itiraf edeyim.o mesaj az önce bana da geldi. Turkcell i yarın bırakıyorum,olumsuz
136,"Turkcell sarı kutudan migros sanal market çeki almayın, şifreyi yollamıyorlar, rezillik",olumsuz
137,Turkcell yedi sülalene sövdüm amk,olumsuz
138,Turkcell Allah bin belani versin,olumsuz
139,"Sakin su Turkcell'in Winn'indan kullanmayin, hem her yerde iyi cekmiyor, hem de sozlesmeyi iptal ettirene kadar canim ciktı",olumsuz
140,Turkcell 11 ay boyunca kazıklıyor ramazanda da millet hattını taşımasın diye böyle yapıyor,olumsuz
141,Turkcell den yine kazik yedik. Artik bu son idi. Vodafone a geciyorum ben,olumsuz
142,Turkcell ile yollarımızı ayırdık mutluyum,olumsuz
143,Turkcell'den nefret ediyorum,olumsuz
144,yıllardır turkcell bizi kazıklıyodu sonunda avea dayanamadı bize kucak açtı,olumsuz
145,"Şerefsiz turkcell, daha yeni getiriyorlar turkcell'e o kadar bekledim sony xperia z2 yi daha yeni geldi amk. Bu akşam iyi sövdüm size",olumsuz
146,off of ömrümü yedin turkcell,olumsuz
147,Turkcell ne şerefsizsin,olumsuz
148,Turkcell de ayrı bi şerefsiz yeminle,olumsuz
149,Allah belanı versin turkcell inşallah iflas edersiniz,olumsuz
150,Her yerde çekiyorsun fakat fena geçiriyorsun Turkcell,olumsuz
151,O değil de bugün kerim turkcell den fena kazık yedi,olumsuz
152,"Turkcell turbo İnternet'e sakın geçmeyin, çevirmeli ağı mumla ararsınız, berbat ötesi bağlantı hızı var",olumsuz
153,Turkcell'deki bu net kopması beni deli ediyor. Havadandır havadan,olumsuz
154,"Kandil diye kilitlenirsin, deprem olur titrersin,gecirdin mi on numara geçirirsin,lan turkcell Allah belanı versin",olumsuz
155,Bu şerefsiz turkcell her seferinde internet paketimin bittiğini haber vermiyor ve bakiyemden yiyor. Bildiğin hırsızlık amacı -8e düşürmek,olumsuz
156,Allahım konturumu yedi sms yapmadı oc turkcell,olumsuz
157,"Turkcell avea vodafone reklamlarından irite oldum arkadaş, biz size neden para veriyoruz? En ufak depremde hatlar kesilsin diye mi",olumsuz
158,Bu turkcell telefonlarının başına buyruk tavırları da ayrı bi sinir bozucu,olumsuz
159,Çok pahalısın be turkcell,olumsuz
160,7 yıllık turkcellli hayat bitti. Allah belanı versin turkcell,olumsuz
161,Turkcell nefretimi kazandı bu sefer,olumsuz
162,Artık vodafone'a gecmem lazim turkcell bıktırdın beni,olumsuz
163,"Evin bi yerinde internet çekmez, bi yerinde telefon zaten hiç çekmez. Başlıycam Turkcell'den de onun çekim gücünden de",olumsuz
164,Hayat kazıklarla dolu.Bkz.Son turkcell faturam 70 lira.Kredi kartımın bloke ettiği rakam 100 lira.Sorunların yarattığı stres paha biçilemez,olumsuz
165,O değilde Turkcell çok masraflı,olumsuz
166,Turkcell tam bir sömürge sirketi,olumsuz
167,Devlet dinlenme korkusu olmadan gizli bir toplantı yapmak isterse benim eve gelsin Turkcell bile çekmiyor..,olumsuz
168,Turkcell 3G bu saatte felaket yavaş.. Hayrola? @turkcellhizmet @turkcell,olumsuz
169,Bugun de turkcell in bana attigi kaziklara agladim iste ama hayat devam ediyor,olumsuz
170,Onca zamandan sonra beni bu gece şair yaptınız ya helal. Tüm küfürlerim turkcell ve hayata,olumsuz
171,Turkcell bana mesaj atmasın baska bı sey ıstemıyorum duygularımla oynuyor serefsız,olumsuz
172,Turkcell tamam sana uyuz olduğum doğru da hattımı iptal etmeyeydin eyiydi.,olumsuz
173,Berbat reklam turkcell,olumsuz
174,Turkcell yedin bitirdin beni be askerde yapma hic olmazsa,olumsuz
175,627 tl turkcell faturası yatırdım yuh ki ne yuh,olumsuz
176,Odemeye her gittigim de sorunla karsilastigim bi turkcell ve odemeyi gerceklestiremedigim bi telefon faturam var,olumsuz
177,Kazıkla turkcell kazıklaaa. Yarın ilk iş numarayı taşımıyomuyum,olumsuz
178,Turkcell kadar başarısız bi internette görmedim,olumsuz
179,Yemin ediyorum Turkcell benden kestiği paralarla zengin oldu,olumsuz
180,Allahsız turkcell bi oğrenciden 194 tl fatura parasi alinirmi lan Allahin yokmu senin. İcim yaniyo icim,olumsuz
181,Lan bu turkcell mal mi? Smsi 33kurusa atti,olumsuz
182,Nalet Turkcell Nalet,olumsuz
183,Sonunda turkcell eziyetinden kurtuluyorum allaaam,olumsuz
184,Turkcell reklamlarından dolayı operatörümden utanıyorum,olumsuz
185,Turkcell senin Allah belanı versin,olumsuz
186,Internet hızına sokayım Turkcell,olumsuz
187,Turkcell bizim tuvalette internetin cekmiyor,olumsuz
188,"Turkcell senin ağzına etsinler, sevgililerin ayrılma sebebi olacaksın",olumsuz
189,Turkcell'den hiç memnun değilim iptal ettiresim var,olumsuz
190,Aklın yolu birdir yavşak Turkcell'in ismi var diye aldanmayın Avea on numara kısa zaman sonra geçiyorum en azından abonelerini koparmiyo,olumsuz
191,sabriyide reklamda oynatttın ya allah belanı versin turkcell,olumsuz
192,Sabri reyiz ile ilgili onlarca guzel reklam cekilebilirken turkcell gibi bi marka dunyanin en mal reklamini cekti,olumsuz
193,Sonunda kurtuldum turkcellden fakyu turkcell,olumsuz
194,Turkcell kadar boktan bir operatör olamaz !! Turkcell'e geçtiğim güne lanet olsun,olumsuz
195,TURKCELL ALLAH BELANİ VERSİN !!!! Evet versin yaa fatura odeniyor 1 hafta bitiyo ek paket var hala internet kisitlaniyor !!!!!! Bu ne yaa,olumsuz
196,Sen turkcellsin lan turkcell senin çekmeme gibi bi lüksün yok,olumsuz
197,Lanet olsun sana turkcell!!! 10 günde hem 500 mb netimi bitirip hemde iki katı fatura yollandın bana.Allah sizin evinize ateş düşürsün,olumsuz
198,Arkadaşlar turkcell 4 falan çekmiyo. Hiç çekmiyor hatta,olumsuz
199,Sömürdün bizi turkcell,olumsuz
200,Turkcell reklamlari saçma ötesi sadece çalışanlarıyla duygu sömürüsü yapıyo,olumsuz
201,Yemin ederim bıktım senden turkcell,olumsuz
202,Allah internet hızımı düşüren Turkcell'e ateşler salsın,olumsuz
203,Gece gece turkcell 'e sövme keyfii,olumsuz
204,Turkcell mesajları geç iletiyorsa bu benim suçum mu,olumsuz
205,Turkcell'in duygu sömürülü bol aglamaklı reklamlarından sıkılmadık mı,olumsuz
206,Coca cola'yla Turkcell'in reklamları resmen insanları duygularından vurmak için var,olumsuz
207,"Kız Turkcell, Allah umutlarını sinende bıraksın, ocağına ateşler salsın e mi, böyle fatura olur mu laayynn",olumsuz
208,Turkcell kadar mal bir operatör tanımıyorum ayar etti beni sabahtan beri,olumsuz
209,"Allah bu kapitalist dünyanın belasini versin. Turkcell,vodafone hepsi soyguncu. Hizmet SİFİR",olumsuz
210,Turkcell senin Allah belanı versin bok gibi internet paketi yapmışsın,olumsuz
211,Hayır turkcell ben sana sövmekten bıktım sen sövülmekten bıkmadın,olumsuz
212,Telefon nete o kada yavaş baglanıyo kı atcagım twıtı unuttum allahın yok mu lan turkcell,olumsuz
213,Bi film izleyecektim burnumdan getirdin Turkcell.,olumsuz
214,Turkcell reklamlari çok salak,olumsuz
215,yarın gidiyim de Avea' ya geçiyim Turkcell' den hayır yok artık,olumsuz
216,Devlet bir turkcell iki hırsızlıkta yarışıyorlar birbirleriyle,olumsuz
217,Bu turkcell kadar hırsız görmedim,olumsuz
218,"Bu, Turkcell. Bugünde insanların duygularını sömüren saçma sapan bir reklam filmi yayınladı",olumsuz
219,turkcell ne kadar sacma salak reklam yapmaa basladıı yaa,olumsuz
220,Turkcell yine yaptı yapacağını,olumsuz
221,turkcell lanet olsun cok kaziksin amk,olumsuz
222,Allah belani versin Turkcell,olumsuz
223,"Sırf dk sı 70 kuruş diye sesli mesajımı dinleyemiyorum. Kahrolsun fakirlik,kahrolsun turkcell",olumsuz
224,Hasstırr ya internet paketim bitti whatsapp da kapandı. Lanet olsun bu hayat lanet olsun Turkcell,olumsuz
225,Turkcell maxiplus5 alacak veya düşünen varsa vazgeçsin çok berbat bişy taksiti var diye kıramoyrm yoksa duvara yapştırıcam,olumsuz
226,Turkcell saçma saçma mesajları atmayı kesermisin lütfen,olumsuz
227,Turkcell sanirim suan Yesilkoy'de bizim eve ugramiyor. Babam ve benim telefonumda servis yok diyor,olumsuz
228,Turkcell beni sesimden tanır. Turkcell beni sesimden tanır. Turkcell beni eeee allah belanizi versin ya,olumsuz
229,"Bugünün bütün bedduaları turkcell internete gelsin , çıldırttın beni delirttin kafayı yedirttin",olumsuz
230,turkcell kadar para düşkünü ve dolandırıcı bir operatör daha yok. yaşasın avea,olumsuz
231,Turkcell reklamında yayvan yayvan konuşan bebeyi duyunca sinirleri tepesine çıkan bir ben miyim yaa,olumsuz
232,Turkcell lanet olsun sana ya,olumsuz
233,la bu turkcell canı sıkıldıkça paramı alıyor bıktım la sizden,olumsuz
234,"Turkcell , Vodafone, Avea boşuna reklam yapıyolar çünkü bizim köyde hiç biriside çekmiyor",olumsuz
235,Bu bodrumda neden turkcell interneti yavas avea bile daha iyi çekiyo yaziklar olsun turkcell,olumsuz
236,Su turkcell reklami ne kadar salakca lan anlamini bilmiyor yazilisini biliyor adam,olumsuz
237,Turkcell kadar kazık bir hat daha yok,olumsuz
238,"Turkcell kurumsal musteri temsilcisinin babamla imtihani, adam geldigine gelecegine pisman oldu",olumsuz
239,"Nefret ederek kullandığım 3 şey; Babet çorabı, streç film, turkcell.",olumsuz
240,kazık turkcell,olumsuz
241,Turkcell annen ölsün yaa,olumsuz
242,İnternetin yavaşlığı gözlerimi dolduruyo turkcell,olumsuz
243,Bir ton para veriyorum adam gibi çekmiyor. Ya biraz daha verip turkcell keyfini süreceğim ya da avea'ya geçip daha az paraya rezil olacağım!,olumsuz
244,"Turkcell Allah belanı versin, bu gün gazete okuyamadım, sosyal ağlara giriş işkence oldu, zaten dengesizim biri ile uğraşıyorum",olumsuz
245,Turkcell kadar iğrenç bir operatör yok,olumsuz
246,Turkcell'in reklamları beni küçük çocuklardan soğutuyor,olumsuz
247,Turkcell kadar şerefsiz varmıya tl yüklendiğini internet paketinin yenilenmesinden anlıyorum tl yi görünce hemen alıyo,olumsuz
248,Turkcell bildiğin adam soyuyor yaa yok böyle bişey başka bir operatöre geçmem an meselesi yeter sömürdükler,olumsuz
249,"Turkcell çözüm getirmedin, bari müşteri hizmetlerinden para alma.",olumsuz
250,'Turkcell beni sesimden tanır' derken kendimi dünyanın en mal insanıymış gibi hissediyorum.,olumsuz
251,bu turkcell reklamlarındaki insanlar gerçekten bu kadar gerizekalı mı acaba,olumsuz
252,"Ah Turkcell ah, beni bu şapşal uygulamalarınla hergün biraz daha Vodafone'un kollarına ittiğini bilsen bunca duyarsız olur muydun",olumsuz
253,80 tl cepfaturasi mi olur hani hayat paylasinca guzeldi. Allah belani versin turkcell,olumsuz
254,"Turkcell gibi diğerleri de çağrı merkezini arayıp da müşteri temsilcisi ile konuştuğumuzda ücretlendiriyor mu,yoksa Turkcell usulü kazık mı",olumsuz
255,ŞU TURKCELL REKLAMLARINI İZLEDİKÇE GENÇLİĞİMDEN UTANIYORUM AQ,olumsuz
256,Turkcell'e bayıldığım paralar haram olsun lan,olumsuz
257,Son gelen turkcell telefon faturasindan sonra vodafonea gecmek sart oldu. Brand loyaltyde bi yere kadar ama,olumsuz
258,Turkcell reklamlarindaki o kucuk kizi alip bogabilirim,olumsuz
259,"Digiturk, ttnet ve turkcell iptallerine doğru yol alıyorum.. Değişim güzeldi",olumsuz
260,Şu turkcell ve freezone reklamları çıkınca geçliğimden utandığım doğrudur,olumsuz
261,"Turkcell tarafindan kaziklanmam disinda, cok guzel bi gun",olumsuz
262,Bi de her yerden çekiyomuş.Bak bak yalana bak.Odamdayım be Turkcell,olumsuz
263,her ay artan sms ve mms hakkimda haram olsun sana turkcell,olumsuz
264,Koskoca Silivri de telefon çekmiyor. Turkcell burayı teğet geçtiyse demek ki.,olumsuz
265,"Vodafone'a geçtim, lanet olası Turkcell'den kurtuldum",olumsuz
266,Şu turkcell kadar şerefsiz yok. Facebook paketi alıyorum 2 dk sonra paketin yok diyo birde utanmadan paramı alıyo,olumsuz
267,Turkcell kadar yüzsüzünü de görmedim. Cevap vermedikçe daha çok mesaj atıyor,olumsuz
268,Yine turkcell reklamını izledim zarardayım hesap ortada kahrolsun turkcell #diren70milyon,olumsuz
269,"Turkcell'ciğim, teknolojini ilerletecek çağı mı buldun gülüm? Batırdın beni aptal gerizekalı",olumsuz
270,turkcell'e dava açalım mesajlar iletilmiyor bu ne rezalettir,olumsuz
271,"Sosyal paketim olduğuna rağmen 1 krs, 10 krs alıp kontürlerimi yiyen #Turkcell Allah belanı versin, en kısa zamanda Turkcelli bırakıcam",olumsuz
272,Turkcell paramı aldı paketi yapmadı şimdi saldırıcam,olumsuz
273,Turkcell senden nefret ediyorum,olumsuz
274,Sirf bu yuzden vodofondayim turkcell pismanliktir,olumsuz
275,Allah belani versin turkcell beni gec sulalemde 25 yasina basan insan yok,olumsuz
276,Hergün turkcell mesaj atıyor diye hattı mı vodafone yaptırdım salaklar farketmediler hala mesaj atıyorlar kontörleri gidiyor kafam yinezehir,olumsuz
277,Allah turkcell kere belani versin,olumsuz
278,"Internet paketim olduğu halde neden paralarımı yiyosun, zalimsin turkcell",olumsuz
279,Kotasız internet istiyorum turkcell Allah belanı versin,olumsuz
280,Turkcell senin kadar serefsizini gormedim,olumsuz
281,Turkcell faturamı bir kabartıyor bir kabartıyor ayar oluyorum,olumsuz
282,Birde Turkcell'in çekim gücü vardı bok var,olumsuz
283,Vallahi yalan turkcell,olumsuz
284,o tl bu gecede gelmez ama faturaya yansırsa seni yaktım turkcell,olumsuz
285,Turkcell cevizlibağ ın göbeğinde tercüman sitesinde çekmiyor,olumsuz
286,eski telefon faturamın ödenmemiş 200 lira borcu varmış :/ turkcell ciğerimi yedin doymadınmı amk,olumsuz
287,Internet paketı yapıcaktım Turkcell 2 tl aldı lanet olsun yaa,olumsuz
288,Cahit Berkay'lı Turkcell reklamından iğreniyorum.Yok böyle iğrenç reklam ya resmen,olumsuz
289,Turkcell Cüzdan uygulaması tam bir felaket. Korkunç yavaş ve hatalı! Birde Nasıl reklamını yapıyor @Turkcell bu uygulamanın @turkcellcuzdan,olumsuz
290,"Turkcell seni cok kotu parcalarim, kontorlerimi yemekten bikmadin amk",olumsuz
291,Sabah sabah turkcell 9 tane mesaj attii yuh be,olumsuz
292,Turkcell'in reklam ajansı gerçekten inanılmaz kötü,olumsuz
293,Turkcell Style den sonra Harlem Shake .. Turkcell reklamlarıda baydı yani,olumsuz
294,Turkcell Harlem Shake reklaminda saygi cercevesinde danseden gencler sinir bozucu,olumsuz
295,Harlem shake midir nedir hic izlememistim gerzek turkcell reklamlari yuzunden 3 kere izledimve su an kendimden nefret ediyorum,olumsuz
296,Turkcell işin foseptiğini çıkarmış artık...şimdi de Harlem Shake versiyon reklam yapmışlar lanet olsun,olumsuz
297,Turkcell in harlem Shake reklamını da gördüm ya artık beyinin bedava olduguna hakikaten inandım ne Salak sarki bu ya,olumsuz
298,turkcell bana hayatımın kazığını attı kontör yüklüyom anında bitiyor,olumsuz
299,@YSaltkalp bi sms için uğraşlarımız. Lanet olsun turkcell,olumsuz
300,Tl yükledim şerefsiz turkcell paramı aldı ben ne hayaller kurmuştum halbuki sms yapıcaktım,olumsuz
301,Daglarda tepelerde vadilerde ceken Turkcell goztepe karsiyaka arasi denizde cekmiyor,olumsuz
