Haber,Yorum
egitim_Haber: ,"11 ARALIK OKULLAR TATİL Mİ 2023 MERSİN || Yarın Mersin'de okullar tatil mi, var mı, yok mu, ders işlenecek mi?"
egitim_Haber: ,"11 ARALIK OKULLAR TATİL Mİ 2023 ANTALYA || Yarın Antalya'da okullar tatil mi, var mı, yok mu, ders işlenecek mi?"
egitim_Haber: ,Bugün ne sınavı var? Bugün hangi sınav var? 10 Aralık Pazar hangi sınav yapılacak?
egitim_Haber: ,"AÖF sınav yerleri nasıl öğrenilir? AÖF sınav giriş belgesi nereden, nasıl alınır?"
egitim_Haber: ,"Açıköğretim sınavlarında kalem veriliyor mu 2023? Açıköğretim sınavlarında kalem, silgi, su, kalemtraş verilecek mi?"
egitim_Haber: ,"AÖF sınavında kalem veriliyor mu? AÖF sınavında silgi, su, verilecek mi?"
egitim_Haber: ,"Okulların kapanmasına kaç gün var SAYAÇ (9 Aralık) Okullar ne zaman, hangi tarihte kapanacak?"
egitim_Haber: ,"Yılbaşında okullar tatil mi? Yılbaşında okullar resmi tatil mi, değil mi?"
egitim_Haber: ,Karabük Üniversitesi Orman Fakültesi Öğrencilerine Eğitim Verildi
egitim_Haber: ,RANDEVUSUZ PASAPORT BAŞVURUSU YAPILIR MI? Pasaport için randevu almadan gidilir mi? Nüfus Müdürlüğünden randevu almaya gerek var mı?
egitim_Haber: ,"İBB BURS SONUÇLARI SON DURUM || 2023-2024 İBB Genç Üniversiteli bursu açıklandı mı, ne zaman açıklanacak? İBB burs sonucu nereden, nasıl öğrenilir?"
egitim_Haber: ,9 Aralık 2023 Resmi Gazete ATAMA KARARLARI! Bugünün kararları neler? 9 Aralık Resmi Gazete yayımlandı! 32266 sayılı Resmi Gazete atamalar listesi!
egitim_Haber: ,"Heimlich manevrası nedir, nasıl yapılır? Heimlich manevrası nasıl uygulanır?"
egitim_Haber: ,Yarın okullar tatil mi? 9 Aralık Cumartesi MEB okullar tatil mi?
egitim_Haber: ,"YÖK Başkanı Özvar, nitelikli yayınları teşvik ettiklerini belirtti"
egitim_Haber: ,Artvin'de TÜBİTAK 4006 Bilim Fuarı'nda 14 proje sergilendi
egitim_Haber: ,"Milli Eğitim Bakanı Yusuf Tekin, Mesleki Eğitim Zirvesi'nde konuştu"
egitim_Haber: ,Öğretmeni sınıfta uygunsuz halde gören müdür yardımcısı polisi aradı
egitim_Haber: ,Açıköğretim sınavları ne zaman? AÖF SINAV TARİHLERİ!
egitim_Haber: ,"Yerli malı haftası ne zaman? Yerli malı haftası 2023 hangi tarihte, ayın kaçında?"
egitim_Haber: ,"BURÇLAR DEĞİŞTİ Mİ 2023? Burç tarihleri niye, nasıl değişti? 2023 hangi ay hangi burç?"
egitim_Haber: ,"8 ARALIK OKULLAR TATİL Mİ 2023 İSTANBUL? Bugün okullar tatil mi, var mı, yok mu? İstanbul'da bugün okullar da kar tatili var mı?"
egitim_Haber: ,"Okulların kapanmasına kaç gün var SAYAÇ (8 Aralık) Okullar ne zaman, hangi tarihte kapanacak?"
egitim_Haber: ,8 Aralık 2023 Resmi Gazete ATAMA KARARLARI! Bugünün kararları neler? 8 Aralık Resmi Gazete yayımlandı! 32266 sayılı Resmi Gazete atamalar listesi!
egitim_Haber: ,"Sınıf anneliği kalktı mı, yasaklandı mı?"
egitim_Haber: ,7 Aralık Cuma Hutbesi yayınlandı! 7 Aralık Cuma Hutbesi tam metni! Diyanet 7 Aralık Cuma Hutbesi!
egitim_Haber: ,"ERKON nedir, amacı nedir? ERKON'un hizmetleri neler?"
egitim_Haber: ,"Güngör Orbak kimdir? Güngör Orbak kaç yaşında, nereli? Güngör Orbak biyografisi!"
egitim_Haber: ,Dicle Üniversitesi Veteriner Fakültesi tarafından 'Diyarbakır Manda Yetiştiriciliği Sempozyumu' düzenlendi
egitim_Haber: ,"Çocuğunu karanlıkta okula gönderen anne, kış saati uygulamasına tepki gösterdi: Yazıktır, günahtır"
egitim_Haber: ,Meksika'nın para birimi nedir? Meksika'nın başkenti neresi?
egitim_Haber: ,Ödemiş'te Ehliyet Sınavında Dolandırıcılık Operasyonu
egitim_Haber: ,"Gençler, Şahinbey Belediyesi Geleneksel Sporlar Merkezinde ata sporlarını öğreniyor"
egitim_Haber: ,"Macaristan hangi bölgede, başkenti neresi? Macaristan para birimi nedir?"
egitim_Haber: ,Lüksemburg başkentinin adı ne? Lüksemburg para birimi nedir?
egitim_Haber: ,Rusya'da 14 yaşındaki kız öğrenci ders sırasında pompalı tüfekle bir arkadaşını öldürüp üç arkadaşını yaraladıktan sonra intihar etti
egitim_Haber: ,Letonya'nın başkenti neresi? Letonya para birimi nedir?
egitim_Haber: ,Kosova'nın başkenti neresi? Kosova para birimi nedir? Kosova şehirleri neler?
egitim_Haber: ,Lise Öğrencileri Atık Telefon Dolaplarından Kuş Yuvası Yaptı
egitim_Haber: ,"Sınıf annesi kaldırıldı mı? Sınıf anneliği uygulaması neden kaldırıldı, sebebi ne?"
egitim_Haber: ,Lise Öğrencilerinden Öğretmenlerine Sürpriz İmza Günü
egitim_Haber: ,Güney Kore başkenti neresi? Güney Kore para birimi nedir?
egitim_Haber: ,Öğretmenlerin alan değişikliği başvuruları kabul edilecek
egitim_Haber: ,Güney Kıbrıs başkenti neresi? Güney Kıbrıs para birimi nedir?
egitim_Haber: ,Edirne'de Trakya Kariyer Fuarı düzenlenecek
egitim_Haber: ,"Okulların kapanmasına kaç gün var SAYAÇ (7 Aralık) Okullar ne zaman, hangi tarihte kapanacak?"
egitim_Haber: ,Hamsi Kağıt Kebap tarifi! MasterChef Hamsi Kağıt Kebap nasıl yapılır?
egitim_Haber: ,"İhsan Baştürk kimdir? Yargıtay 8. Ceza Daire Başkanı İhsan Baştürk kaç yaşında, nereli? Doç. Dr. İhsan Baştürk biyografisi!"
egitim_Haber: ,"Şahinbey Belediyesi, 180 bin kişiyi Çanakkale'ye götürüp ecdatla buluşturdu"
egitim_Haber: ,"SINIF ANNESİ UYGULAMASI KALDIRILDI MI? Okullarda 'Sınıf Annesi' yasaklandı mı, neden kaldırılıyor? MEB 'Sınıf Annesi' açıklaması nedir?"
egitim_Haber: ,Öğrencilerin Sürpriz Ziyareti İle Duygulanan Öğretmen
egitim_Haber: ,"Milli Eğitim Bakanlığı okullardaki ""sınıf annesi"" uygulamasını yasakladı"
egitim_Haber: ,"Okulların kapanmasına kaç gün var SAYAÇ (6 Aralık) Okullar ne zaman, hangi tarihte kapanacak?"
egitim_Haber: ,6 Aralık 2023 Resmi Gazete ATAMA KARARLARI! Bugünün kararları neler? 6 Aralık Resmi Gazete yayımlandı! 32266 sayılı Resmi Gazete atamalar listesi!
egitim_Haber: ,Milli Eğitim Bakan Yardımcısı Yılmaz: Gençlerimizin Milli Manevi Değerlerine Sahip Çıkarak Yetiştirilmesi Öncelikli Hedefimiz
egitim_Haber: ,Yarın okullar tatil mi? 6 Aralık Çarşamba MEB okullar tatil mi?
egitim_Haber: ,"2023 ALES 3 SONUÇLARI ne zaman açıklanacak, sonuçlara nereden bakılır? ÖSYM.GOV.TR Sonuç Sorgulama Ekranı!"
egitim_Haber: ,ALES 3 sonuçları açıklandı mı? ALES ne zaman açıklanacak?
egitim_Haber: ,5 Aralık 2023 Resmi Gazete ATAMA KARARLARI! Bugünün kararları neler? 5 Aralık Resmi Gazete yayımlandı! 32266 sayılı Resmi Gazete atamalar listesi!
egitim_Haber: ,"Baba, Kızının Eğitim Masraflarını Karşılamak İçin Koyunlarını Sattı"
egitim_Haber: ,Lanetli Firavun türbesindeki gizemli ölümlerin nedeni arkeolog tarafından ortaya çıkarıldı
egitim_Haber: ,"Milli Eğitim Bakanlığı, 'Din Öğretiminde Dayanıklı Sınıflar Hareketi Projesi'ni Başlattı"
egitim_Haber: ,"4 Aralık OKULLAR TATİL Mİ? Yarın (4 Aralık Pazartesi) hangi illerde okullar tatil, hangi şehirlerde okul yok?"
egitim_Haber: ,Engelli Biyoloji Öğretmeni Örnek Bir Mücadele Veriyor
egitim_Haber: ,Bugün hangi sınav var? Bugün ne sınavı var? 3 Aralık Pazar hangi sınav yapılacak?
egitim_Haber: ,"Okulların kapanmasına kaç gün var SAYAÇ (3 Aralık) Okullar ne zaman, hangi tarihte kapanacak?"
ekonomi_Haber: Ekonomi Haberleri,Yılmaz'dan heyecanlandıran enflasyon çıkışı! Tek haneleri göreceğimiz tarihi verdi
ekonomi_Haber: ,"2 yıl önce 15 bin dolar değer biçilen tablo, 14 milyon dolara satıldı"
ekonomi_Haber: ,Online siparişlerde bir dönem sona eriyor
ekonomi_Haber: ,"Altın haftaya düşüşle başladı! İşte gram, çeyrek ve cumhuriyetin fiyatı"
ekonomi_Haber: ,Dolarda kritik eşik aşıldı
ekonomi_Haber: ,İşçi ve işverenin pazarlık başlamadan anlaştığı bir konu var
ekonomi_Haber: ,Cari denge bu yıl 3. kez fazla verdi
ekonomi_Haber: ,Türkiye'de işsizlik son 11 yılın en düşük seviyesinde
ekonomi_Haber: ,Asgari ücret zammı için ilk toplantı bugün
ekonomi_Haber: ,İstanbul'da ekmeğe keyfine göre fiyat biçen fırınlar şimdi yandı
ekonomi_Haber: ,Alman devinde işçi kıyımı! 1500 kişiye kapıyı gösterecekler
ekonomi_Haber: ,Asgari ücrette zam maratonu başlıyor
ekonomi_Haber: ,Asgari ücret zammı için Destici de rakam verdi: Bunun altı kabul edilemez
ekonomi_Haber: ,Yunan adalarına kapıda vize uygulamasının detayları belli oldu
ekonomi_Haber: ,Dünyanın en iyi üniversiteleri sıralandı! Listede Türkiye'den 17 kurum var
ekonomi_Haber: ,Dünyanın en zengin aileleri sıralandı! Zirvede Nahyanlar var
ekonomi_Haber: ,Merkez'in patroniçesi 2024'te takip edilecek kadınlar listesinde
ekonomi_Haber: ,Akaryakıtta peş peşe 3. günde de tabela değişti
ekonomi_Haber: ,Asgari ücret ne kadar olacak? İşte masadaki son rakamlar
ekonomi_Haber: ,Borsada yüksek meblağda para kaybeden okul müdürünün cesedi sahilde bulundu
ekonomi_Haber: ,"Seçil Erzan, asgari ücretlinin 6 ay çalıştığı parayı dua için göndermiş"
ekonomi_Haber: ,Bankalar faizi 20 yılın zirvesine çıkardı! 500 bin TL yatıran aylık bakın kaç para alıyor
ekonomi_Haber: ,Bakan müjdeyi verdi! Paralar bugün hesaplarda olacak
ekonomi_Haber: ,"Altına yatırım yapanlar dikkat! İşte gram, çeyrek ve cumhuriyetin fiyatı"
ekonomi_Haber: ,Merkez Bankası'ndan ihracatçılar için yeni bir adım daha geliyor
ekonomi_Haber: ,Doğal gaz desteği yükseltildi
ekonomi_Haber: ,Dolarda 29 liraya ramak kaldı
ekonomi_Haber: ,Akaryakıtta tabela bu gece bir kez daha değişiyor
ekonomi_Haber: ,Korsan kıyafetli hırsız girdiği fabrikada 17 milyon liralık zarara neden oldu
ekonomi_Haber: ,İşte Yunanistan'la yeni bir sayfa açacak bildirinin detayları
ekonomi_Haber: ,Türk-İş'ten hükümete asgari ücret zammı resti: Bu rakamı teklif ederseniz biz yokuz!
ekonomi_Haber: ,Türklere 10 ada için 7 günlük turist vizesi verilecek
ekonomi_Haber: ,Merkez Bankası rezervleri tüm zamanların en yüksek seviyesinde
ekonomi_Haber: ,Kişi başı en fazla gelire sahip iller sıralamasında zirvenin sahibi şaşırtmadı
ekonomi_Haber: ,"Altın yükselişini sürdürüyor! İşte gram, çeyrek ve cumhuriyetin fiyatı"
ekonomi_Haber: ,Dolar 29 liraya koşuyor
ekonomi_Haber: ,Yeni 200 TL'lik banknotlar tedavülde
ekonomi_Haber: ,Otomobil fiyatlarını düşüren düzenleme uzatıldı
ekonomi_Haber: ,Petrol fiyatları sinyali vermişti! Akaryakıtta rüzgar tersine döndü
ekonomi_Haber: ,Bakanlığa mülakatsız onlarca personel alınacak! İşte kadrolar
ekonomi_Haber: ,Gece yarısı fiyat tabelası bir kez daha değişti
ekonomi_Haber: ,Starbucks'ın hisseleri çakıldı! 20 günde milyarlarca dolar değer kaybettiler
ekonomi_Haber: ,Vatandaşlara doğal gaz desteğinde artışa gidildi
ekonomi_Haber: ,Rize'de AVM'nin dış cephesine yapılan süsleme tepkilerin ardından kaldırıldı
ekonomi_Haber: ,Davutoğlu da asgari ücret zammı için rakam verdi
ekonomi_Haber: ,Dubai'de yapımı devam eden teras rekor fiyata satıldı
ekonomi_Haber: ,İngiltere'den 46 kişi ve kuruluşa yaptırım kararı
ekonomi_Haber: ,Masada milyonları yakından ilgilendiren bir konu var
ekonomi_Haber: ,Meyvesi para etmeyince kabuklarını satmaya başladılar
ekonomi_Haber: ,Cumhurbaşkanı Erdoğan enflasyonun düşüşü için tarih verdi
ekonomi_Haber: ,Kahramanmaraş merkezli depremler için Türkiye'ye dev kaynak
ekonomi_Haber: ,Kardeş ülkenin simgesel eserlerinde Türk müteahhitleri imzası
ekonomi_Haber: ,500 milyon liralık servet çürümeye terk edildi
ekonomi_Haber: ,Asgari ücret zammı için bir öneri de Akşener'den
ekonomi_Haber: ,Faiz indirimlerine gitmeseydik dolar ve akaryakıt fiyatları şu an ne kadar olurdu?
ekonomi_Haber: ,"Dün düşen altın bugün hızlı yükseldi! İşte gram, çeyrek ve cumhuriyetin fiyatı"
ekonomi_Haber: ,Akaryakıtta tabela bu gece bir kez daha değişiyor
ekonomi_Haber: ,"Maaşları düşürülen çalışanlar iş bıraktı, halk mağdur durumda"
ekonomi_Haber: ,Dünyaca ünlü oyuncu THY'nin yeni reklam yüzü oldu
ekonomi_Haber: ,Masada milyonlarca vatandaşın kilitlendiği konu başlığı var
ekonomi_Haber: ,"Otopark ücreti ödemek istemeyen kayyım, lüks araçları TMSF'ye çekti"
ekonomi_Haber: ,Türkiye'nin ünlü gıda şirketi iflas etti! Şubeler teker teker kapanıyor
ekonomi_Haber: ,10 bin yeni polis alımı yapılacak! İşte aranan şartlar ve alacakları maaş
ekonomi_Haber: ,"4 Türk firması, dünyanın en çok silah satan 100 şirketi arasında"
ekonomi_Haber: ,Celal Şengör esti gürledi: Yüzde 99.9'u zır cahil
ekonomi_Haber: ,"Otomobil dolandırıcılarının yeni yöntemi ""Bu kadarına da pes"" dedirtti"
ekonomi_Haber: ,"Bakanlık, vatandaşın işlemediği tarım arazilerini kiraya verecek"
ekonomi_Haber: ,"Sözde ambargo uygulayan Batılı ülkeler, Rusya'yı zengin etti"
ekonomi_Haber: ,Şehrin trafiğine nefes aldıracak tünel için geri sayım başladı
ekonomi_Haber: ,"Mantar toplamaya çıkan vatandaş, karşılaştığı manzara sonrası hemen telefona sarıldı"
magazin_Haber: Magazin Haberleri,Eylül Öztürk aylık kazancını açıkladı
magazin_Haber: ,Survivor 2024 All Star için geri sayım başladı! Takımlar belli oldu
magazin_Haber: ,MasterChef All Star'da eleme! İddialı isim hayallerine veda etti
magazin_Haber: ,Çakma şehzadeden Tan'ı zora sokacak ifşa: Seni görmek için Amerika'ya mı gelmek gerekiyor?
magazin_Haber: ,Nez Demir'den sınır dışı edilen Dilan Polat'ın yardımcısına olay yaratan yorum
magazin_Haber: ,Vizontele'nin yıldızından Gazze mesajı! Acı çığlıkları susturacak güce dikkat çekti
magazin_Haber: ,Kızılcık Şerbeti'nde Alev ve Abdullah'ın yasak aşk sahnesi ortalığı karıştırdı
magazin_Haber: ,Eti döverek bulduğu parayla adanın kalbine inşaatı kondurdu
magazin_Haber: ,"Güzel oyuncu, dekolteli mini elbisesiyle karlar içinde poz verdi"
magazin_Haber: ,"Selda Alkor, Dört Yapraklı Yonca'yı hedef aldı"
magazin_Haber: ,Çok Güzel Hareketler'deki Ekrem İmamoğlu skeci kırdı geçirdi
magazin_Haber: ,İlhan Şeşen kansere yakalandı
magazin_Haber: ,"Ender Saraç'ın avukatı ""Yıllardır tehdit ediyor"" diyerek Benan Saraç'a yüklendi"
magazin_Haber: ,Ece Ronay suç makinası çıktı
magazin_Haber: ,Burak Dakak oyun esnasında sakatlandı! Acı içinde hastaneye kaldırıldı
magazin_Haber: ,Gören de kendi gitti sanır! Sınır dışı edilen Şule'nin ettiği laflara bakın
magazin_Haber: ,"Amerika'da yaşayan Meltem Cumbul, Mahsun Kırmızıgül'ün dizisi için geri dönüyor"
magazin_Haber: ,Doktor Ender Saraç hakkındaki istismar iddialarına ilişkin Bakanlık devreye girdi
magazin_Haber: ,Survivor yarışmacılarının toplu videosunu paylaştı! Kadroda sürpriz isim de var
magazin_Haber: ,Her fırsatta katil İsrail'e tepki gösteriyor! Efsane grubun solisti Filistin bayrağı açtı
magazin_Haber: ,"Mahkeme, şarkıcı Onur Şener'i katledenler için kararını verdi"
magazin_Haber: ,"Ünlü şarkıcı, 2 aydır mücadele ettiği hastalığını açıkladı"
magazin_Haber: ,Boşanma aşamasındaki eşinin avukatından olay sözler
magazin_Haber: ,Güzel oyuncu elbise denerken fena frikik verdi
magazin_Haber: ,"Gözaltına alındı, akıllanmadı! Skandal paylaşımlarına kaldığı yerden devam ediyor"
magazin_Haber: ,Yağmur Tanrısevsin mini şortla fırına ekmek almaya gitti
magazin_Haber: ,Mal varlığına el konulan Eylül Öztürk gözyaşlarına boğuldu
magazin_Haber: ,"Sesi titreyek video çekti, sinkaflı küfürler savurdu"
magazin_Haber: ,Futbol dünyasında milyarlık vurgun yapan Seçil Erzan'ın yeni görüntüleri
magazin_Haber: ,"Ünlü sunucu Armağan Çağlayan, çekim için gittiği AVM'de çalışanlarla birbirine girdi"
magazin_Haber: ,"Ünlü fenomen, cinsel içerikli görüntüleri nedeniyle gözaltına alındı"
magazin_Haber: ,Bebek heyecanı yaşayan Eda Ece'den ilk hamilelik pozu geldi
magazin_Haber: ,"Oyuncu Filiz Taçbaş, belediye başkanı aday adayı oldu"
magazin_Haber: ,Hapisteki Dilan Polat'ın avukatından istediği şey akıllara durgunluk verdi
magazin_Haber: ,"Sevgilisinden ayrılan Dua Lipa, milyonlarca insana telefon numarasını verdi"
magazin_Haber: ,Annesinin son anlarını anlatan Zeynep Dizdar gözyaşlarına boğuldu
magazin_Haber: ,Haber spikeri canlı yayında gafil avlandı! Hareketi ortalığı karıştırdı
magazin_Haber: ,Oyuncu Hilal Altınbilek'in babası yaşamını yitirdi
magazin_Haber: ,Ender Saraç'la ilgili skandal iddia! Oğlunu istismar etmekle suçlanıyor
magazin_Haber: ,Mal varlığına el konulan fenomen Feyza Hakyemez gözdağı verdi
magazin_Haber: ,Gönül Dağı'ndan ayrılan usta oyuncunun yeni adresi belli oldu
magazin_Haber: ,"Her kulvarda rakipsiz! Yıldız şarkıcı Taylor Swift ""Yılın Kişisi"" seçildi"
magazin_Haber: ,Mal varlığına el konulan fenomen sessizliğini bozdu
magazin_Haber: ,"Komedyenin ""2000'li çocuk beni evine çağırdı"" diyerek anlattıkları ağızları açık bıraktı"
magazin_Haber: ,"Serenay Sarıkaya, Aile dizisindeki oyunculuğuyla ders verdi"
magazin_Haber: ,"Erdal Beşikçioğlu, kızıyla karşılıklı göbek attı"
magazin_Haber: ,Mesut Yar belediye başkanı aday adayı oldu
magazin_Haber: ,"Eylül Öztürk, Amerika'daki 10 evi nasıl aldığını tüm detaylarıyla anlattı"
magazin_Haber: ,Tarikat fragmanıyla tepki çeken Kızıl Goncalar'ın yayın tarihi belli oldu
magazin_Haber: ,"Twitch Yayıncısı Pqueen, meme kanserine yakalandı"
magazin_Haber: ,Dünyaca ünlü oyuncu THY'nin yeni reklam yüzü oldu
magazin_Haber: ,"Otopark ücreti ödemek istemeyen kayyım, lüks araçları TMSF'ye çekti"
magazin_Haber: ,"""Dilan Polat'ı sektöre sokan benim"" demişti! Adaletin kırbacından kaçamadı"
magazin_Haber: ,Brıtney Spears'in babasının bacağı kesildi
magazin_Haber: ,Külçe külçe altınlarıyla şov yapıyordu! İşte 3 yılda ödedikleri vergi
magazin_Haber: ,Evlatlıktan ret mi edildi? Nagihan Karadere her şeyi anlattı
magazin_Haber: ,Tedavi için karnının üzerinde ateş yaktıran model cayır cayır yandı
magazin_Haber: ,"Müzisyen Seçil, sevgilisini öldürmüştü! Maktulün annesi duruşmada veryansın etti"
magazin_Haber: ,"Merkezleri peş peşe kurşunlanan Ece Ronay, soluğu karakolda aldı"
magazin_Haber: ,İzlenme almak için kasten uçak düşüren Youtuber'a hapis cezası
magazin_Haber: ,Ümit Sayın'dan çocuk aldırdığını söyleyen Zeynep Dizdar'dan olay cinsellik itirafı
magazin_Haber: ,Dilan Polat'ın kara kutusu Şule ve Özbek akrabası için yolun sonu
magazin_Haber: ,Ecem Erkek'in ödül konuşması Cumhurbaşkanı Başdanışmanı'nı küplere bindirdi
magazin_Haber: ,Şirketine kayyum atanan fenomen konuştu: Suçumuzu bilmiyorum
magazin_Haber: ,Ece Erken'in eşini canice öldüren sanıklar için istenen cezalar belli oldu
magazin_Haber: ,"Farah Zeynep Abdullah, Kızılcık Şerbeti'nden para aldı mı? Yapım şirketinden cevap geldi"
magazin_Haber: ,Dilan Polat'ın yardımcısı Şule'nin sefası kısa sürdü
magazin_Haber: ,"Seyircileri 3 saat bekletip konsere çıkmayan Melike Şahin, İBB'ye ateş püskürdü"
magazin_Haber: ,Dilan Polat'ın Şampiyonlar Ligi'ne bir darbe daha
magazin_Haber: ,Nagihan Karadere evlatlıktan reddedildi
spor_Haber: ,Borsada güne kabusla başladılar 
spor_Haber: ,Hakeme saha ortasında yumruklu saldırı RTÜK'ü harekete geçirdi 
spor_Haber: ,Dünyaya rezil olduk! İngilizlerin attığı manşete bakın 
spor_Haber: ,İşte yumrukçu başkanın ilk ifadesi 
spor_Haber: ,Hakemi yumruklayan başkan dahil 3 kişi tutuklandı 
spor_Haber: ,"1 yıl önceki paylaşımını ""Haklı çıktım"" diyerek yeniden paylaştı "
spor_Haber: ,5 yaşındaki oğlunu boğarak öldüren eski futbolcu hapiste çürüyecek 
spor_Haber: ,Çirkin saldırı sonrası hakemlerden ortak açıklama 
spor_Haber: ,"Ünlü isimler, Halil Umut Meler'e yapılan çirkin saldırıya öfke kustu "
spor_Haber: ,İşte hakemi yumruklayan başkanı bekleyen ceza 
spor_Haber: ,Hakem Umut Meler'e tekme tokat saldıran başkan ve avaneleri adliyeye sevk edildi 
spor_Haber: ,Türk futbolunu rezil eden başkan yapacaklarının sinyalini bu konuşmayla vermiş 
spor_Haber: ,Eski MHK üyesi hastanede görüştüğü Meler'in kararını duyurdu 
spor_Haber: ,Hakeme yumruklu saldırı sonrası Ali Koç'un sözleri gündem oldu 
spor_Haber: ,Tüm lig maçları süresiz ertelendi 
spor_Haber: ,Hakem Meler'e saldırı olayında gözden kaçan an! Belözoğlu'nun hareketi de çok konuşulacak 
spor_Haber: ,Skandal sonrası Ankaragücü Başkanı Koca'nın dudaklarından iki cümle döküldü 
spor_Haber: ,Rezil olduk! Türk futbolunda kara gece dünyada böyle yankılandı 
spor_Haber: ,"Hakeme saldıran Faruk Koca, TFF Başkanı Büyükekşi'nin elinden bir de ödül almış "
spor_Haber: ,Hakeme saldıran Faruk Koca'ya bir yumruk da AK Parti'den 
spor_Haber: ,Halil Umut Meler'e saldıran Faruk Koca ve iki kişi hakkında gözaltı kararı 
spor_Haber: ,Hakem Meler'e saldırıya ilişkin Cumhurbaşkanı Erdoğan'dan ilk sözler 
spor_Haber: ,Ünlü teknik direktör canlı yayında itiraf etti: Faruk Koca bana da yumruk attı 
spor_Haber: ,İşte Halil Umut Meler'e yapılan saldırının en net görüntüleri 
spor_Haber: ,Adalet Bakanı Tunç'dan skandal maç sonrası ilk sözler 
spor_Haber: ,Halil Umut Meler'e yumruk atılmasının ardından hakemlerden ortak karar 
spor_Haber: ,"""Bu olaya katılan herkes bedelini ödeyecek"" "
dunya_Haber: Dünya Haberleri,İsrail zulmü altındaki Gazze'de can kaybı yine katlandı
dunya_Haber: ,Kuzey Kore lideri şaştı kaldı! Kız öğrenciler bir anda etrafını sarıp ağlamaya başladı
dunya_Haber: ,Fransa'da Müslüman öğrencilerin gittiği okula kamu desteği kesildi
dunya_Haber: ,Somali Cumhurbaşkanı'nın oğlunun olay yerinde çekilen fotoğrafı ortaya çıktı
dunya_Haber: ,Ölümcül kargoyu taşıyan yolcu uçağı acil iniş yaptı
dunya_Haber: ,Zavallı hayvanı köpeklere parçalatıp sosyal medyada paylaştı
dunya_Haber: ,Erdoğan ile görüşen Hamza Yusuf'u açık açık tehdit ettiler
dunya_Haber: ,Gazze için tüm sokaklar derin bir sessizliğe büründü
