Haber,Yorum
"Asgari ücret zammına ilişkin dün ""Açlık sınırından bir pazarlık olmaz onun üzerinden bir pazarlık olur"" diyen Türk-İş Başkanı Ergün Atalay, tepkilerin ardından bugün ağız değiştirdi. Türk-İş'ten konuya ilişkin yapılan açıklamada, pazarlıkta alt sınırın 14 bin 25 lira olduğu haberlerinin gerçeği yansıtmadığı ve taban fiyatın masada bulunan komisyon üyelerinin kararıyla belirleneceği belirtildi. ",O maaşa kendi çalışsın ben patron olsam 14025mi istiyor al 14500derim 
"Asgari ücret zammına ilişkin dün ""Açlık sınırından bir pazarlık olmaz onun üzerinden bir pazarlık olur"" diyen Türk-İş Başkanı Ergün Atalay, tepkilerin ardından bugün ağız değiştirdi. Türk-İş'ten konuya ilişkin yapılan açıklamada, pazarlıkta alt sınırın 14 bin 25 lira olduğu haberlerinin gerçeği yansıtmadığı ve taban fiyatın masada bulunan komisyon üyelerinin kararıyla belirleneceği belirtildi. ","Bütün devlet memuru maaşları asgari ücretin katları olarak belirlenmeli, örneğin milletvekili asgari ücretin 4 katı, doktor, hakim vs. 3 katı gibi, bu işin en basit ve tek çıkar yolu bu ama bunu hiçbir hükümet ya pa maz. "
"Asgari ücret zammına ilişkin dün ""Açlık sınırından bir pazarlık olmaz onun üzerinden bir pazarlık olur"" diyen Türk-İş Başkanı Ergün Atalay, tepkilerin ardından bugün ağız değiştirdi. Türk-İş'ten konuya ilişkin yapılan açıklamada, pazarlıkta alt sınırın 14 bin 25 lira olduğu haberlerinin gerçeği yansıtmadığı ve taban fiyatın masada bulunan komisyon üyelerinin kararıyla belirleneceği belirtildi. ",Sizden ricam olucak gelin bir aylığına siz bizim yerimize gecin biz sizin yerinize askeri ücretle gecine bilecekmisiniz şartlar da tabi değişecek benim kirada oturdugum evde sen oturacaksın eşin 2 çocuk anlaştık mı gecinirim geciniliyor dersen 1 ay sonra siz kralsınız çünkü biz gecinemiyoruz siz daha iyi bilirsiniz tok hiçbir zaman açın halinden anlamaz 
"Asgari ücret zammına ilişkin dün ""Açlık sınırından bir pazarlık olmaz onun üzerinden bir pazarlık olur"" diyen Türk-İş Başkanı Ergün Atalay, tepkilerin ardından bugün ağız değiştirdi. Türk-İş'ten konuya ilişkin yapılan açıklamada, pazarlıkta alt sınırın 14 bin 25 lira olduğu haberlerinin gerçeği yansıtmadığı ve taban fiyatın masada bulunan komisyon üyelerinin kararıyla belirleneceği belirtildi. ",İstanbul'da Kiralar 15000 TL den başlıyor hicbirseye zam gelmezse asgari ücret 23000 olması lazim eğer zam gelmeye devam ederse asgari ücret 30000 olmasi lazim
"Asgari ücret zammına ilişkin dün ""Açlık sınırından bir pazarlık olmaz onun üzerinden bir pazarlık olur"" diyen Türk-İş Başkanı Ergün Atalay, tepkilerin ardından bugün ağız değiştirdi. Türk-İş'ten konuya ilişkin yapılan açıklamada, pazarlıkta alt sınırın 14 bin 25 lira olduğu haberlerinin gerçeği yansıtmadığı ve taban fiyatın masada bulunan komisyon üyelerinin kararıyla belirleneceği belirtildi. ","Asgari ücret olduğu gibi üst limit de olmalı, devket özel sektör için yaşa çıkarmalı, en az maaş verdiğin işçinin 2 katı en fazla maaş verebilirsin demeli müdürlerine, müdürler İşçisi belki o zman düşünür kendileri için.. 
Emekli çalışan ile normal çalışanın asgari ücreti de aynı olmamalı.. "
"Asgari ücret zammına ilişkin dün ""Açlık sınırından bir pazarlık olmaz onun üzerinden bir pazarlık olur"" diyen Türk-İş Başkanı Ergün Atalay, tepkilerin ardından bugün ağız değiştirdi. Türk-İş'ten konuya ilişkin yapılan açıklamada, pazarlıkta alt sınırın 14 bin 25 lira olduğu haberlerinin gerçeği yansıtmadığı ve taban fiyatın masada bulunan komisyon üyelerinin kararıyla belirleneceği belirtildi. ",ASGARİ ÜCRETİN 15 BİN TL Yİ GEÇMEMESİ LAZIM. YOKSA BU ENFLASYON DÜŞMEZ. YAPACAK BİR ŞEY YOK BAŞKAB BİR ÇIKIŞ YOLU YOK.
"Asgari ücret zammına ilişkin dün ""Açlık sınırından bir pazarlık olmaz onun üzerinden bir pazarlık olur"" diyen Türk-İş Başkanı Ergün Atalay, tepkilerin ardından bugün ağız değiştirdi. Türk-İş'ten konuya ilişkin yapılan açıklamada, pazarlıkta alt sınırın 14 bin 25 lira olduğu haberlerinin gerçeği yansıtmadığı ve taban fiyatın masada bulunan komisyon üyelerinin kararıyla belirleneceği belirtildi. ",sen üstünü geri veririsin..
"Asgari ücret zammına ilişkin dün ""Açlık sınırından bir pazarlık olmaz onun üzerinden bir pazarlık olur"" diyen Türk-İş Başkanı Ergün Atalay, tepkilerin ardından bugün ağız değiştirdi. Türk-İş'ten konuya ilişkin yapılan açıklamada, pazarlıkta alt sınırın 14 bin 25 lira olduğu haberlerinin gerçeği yansıtmadığı ve taban fiyatın masada bulunan komisyon üyelerinin kararıyla belirleneceği belirtildi. ",Tuzu kuru Aktrol boş yapma.
"Asgari ücret zammına ilişkin dün ""Açlık sınırından bir pazarlık olmaz onun üzerinden bir pazarlık olur"" diyen Türk-İş Başkanı Ergün Atalay, tepkilerin ardından bugün ağız değiştirdi. Türk-İş'ten konuya ilişkin yapılan açıklamada, pazarlıkta alt sınırın 14 bin 25 lira olduğu haberlerinin gerçeği yansıtmadığı ve taban fiyatın masada bulunan komisyon üyelerinin kararıyla belirleneceği belirtildi. ","Eflasyonun sebebi işçinin alıgı üçkuruşa bağlamak ne derece dogru. Vergi aflaryla af edilen paralar, hibi destekleri hakkında fikrin var mı. Kimlere verilmiş. Kıraldan çok kıralcı olmanın kimseye faydası yok."
"Asgari ücret zammına ilişkin dün ""Açlık sınırından bir pazarlık olmaz onun üzerinden bir pazarlık olur"" diyen Türk-İş Başkanı Ergün Atalay, tepkilerin ardından bugün ağız değiştirdi. Türk-İş'ten konuya ilişkin yapılan açıklamada, pazarlıkta alt sınırın 14 bin 25 lira olduğu haberlerinin gerçeği yansıtmadığı ve taban fiyatın masada bulunan komisyon üyelerinin kararıyla belirleneceği belirtildi. ","İşçinin maaş sistemi tamamen degişmeli
28 gün bir maaş sayılmalı hafta sonu iki gün tatil günlük 6 saat çalışılmalıdır isteyen mesai yapar haftalık çalışma saati 30 saat aylık çalışma saatinde 120 saat olmalı ve saat ücreti 150 lira olmalıdır. Oda aylık 18.000 yapar iş veren maaliyeti 24000 olmalı tek sigorta dönemi başlamlıdır yoksa düzenli eksiksiz sigorta sistemi olmaz. "
"Bankacı Seçil Erzan'ın aralarında Arda Turan, Emre Belezoğlu, Fernando Muslera gibi Türk futbolunun ünlü isimlerini dolandırdığı ve kamuoyunda ""Fatih Terim Fonu"" olarak bilinen vurgunla ilgili Fatih Terim sessizliğini bozdu. Avukatların yaptığı açıklamada Terim'in dolandırıcılık olayıyla hiçbir ilgisinin olmadığı vurgulanırken, ""Fatih Terim Fonu, diye bir tespit, belge bulunmamaktadır"" ifadeleri kullanıldı. Bu ifadenin basın tarafından ısrarla kullanılmasından rahatsızlık duyulduğu belirtildi.",Tokatçı 2 sinemalarda...
"Bankacı Seçil Erzan'ın aralarında Arda Turan, Emre Belezoğlu, Fernando Muslera gibi Türk futbolunun ünlü isimlerini dolandırdığı ve kamuoyunda ""Fatih Terim Fonu"" olarak bilinen vurgunla ilgili Fatih Terim sessizliğini bozdu. Avukatların yaptığı açıklamada Terim'in dolandırıcılık olayıyla hiçbir ilgisinin olmadığı vurgulanırken, ""Fatih Terim Fonu, diye bir tespit, belge bulunmamaktadır"" ifadeleri kullanıldı. Bu ifadenin basın tarafından ısrarla kullanılmasından rahatsızlık duyulduğu belirtildi.","Milli takımı mahkemeye verdigin zaman bitmistin benim icin,demek ki yanilmadik!!!"
"Bankacı Seçil Erzan'ın aralarında Arda Turan, Emre Belezoğlu, Fernando Muslera gibi Türk futbolunun ünlü isimlerini dolandırdığı ve kamuoyunda ""Fatih Terim Fonu"" olarak bilinen vurgunla ilgili Fatih Terim sessizliğini bozdu. Avukatların yaptığı açıklamada Terim'in dolandırıcılık olayıyla hiçbir ilgisinin olmadığı vurgulanırken, ""Fatih Terim Fonu, diye bir tespit, belge bulunmamaktadır"" ifadeleri kullanıldı. Bu ifadenin basın tarafından ısrarla kullanılmasından rahatsızlık duyulduğu belirtildi.",Bu durumda Fatih terim seçil erzana kaptırdığı parayı geri almak için diğer arkadaşlarına tavsiyelerde bulunmuş seçil erzana katılmak üzere yeni yatırımcılar bulmuş bu sayede Fatih terim parasını kurtarmış olan arda turana olmuş. 
Külçe külçe altınlarıyla çektiği videolarla tanınan ve dolandırıcılık söylentisiyle konuşulan fenomen Nevra Bilem ve eşine ait şirketin 3 yılda sadece 20 bin 257 TL vergi ödediği ortaya çıktı. ,Dolandirici 
Külçe külçe altınlarıyla çektiği videolarla tanınan ve dolandırıcılık söylentisiyle konuşulan fenomen Nevra Bilem ve eşine ait şirketin 3 yılda sadece 20 bin 257 TL vergi ödediği ortaya çıktı. ,devlet sazan avında 
Külçe külçe altınlarıyla çektiği videolarla tanınan ve dolandırıcılık söylentisiyle konuşulan fenomen Nevra Bilem ve eşine ait şirketin 3 yılda sadece 20 bin 257 TL vergi ödediği ortaya çıktı. ,Bunlarda ne suç işlemişki asıl suç bunları adam sayıp takip eden ve ünlü edenlerde başını bağlamış ama Allah ın söyleyin o mümin kadınlara ziynetlerini gizlesinler ayetini unutmuş veya haberi yok gibi ben bu insanları adam yerine bile koymuyorum.Yazıklar olsunki bunları takip edip milyonlar kazanmasına sebep olanlara.
Külçe külçe altınlarıyla çektiği videolarla tanınan ve dolandırıcılık söylentisiyle konuşulan fenomen Nevra Bilem ve eşine ait şirketin 3 yılda sadece 20 bin 257 TL vergi ödediği ortaya çıktı. ,KENDİLERİNDEN OLANA DOKUNMUYORLAR
Külçe külçe altınlarıyla çektiği videolarla tanınan ve dolandırıcılık söylentisiyle konuşulan fenomen Nevra Bilem ve eşine ait şirketin 3 yılda sadece 20 bin 257 TL vergi ödediği ortaya çıktı. ,mali şube uyumaya devam
"Yunanistan'da resmi temaslarda bulunan Cumhurbaşkanı Erdoğan, mevkidaşı Katerina Sakelaropulu ile kameralar karşısına geçti. 6 yıl sonra Atina'yı ziyaret eden Erdoğan, ""Burada olmaktan çok mutluyum"" dedi.  Daha fazla detay >> ",gece gidemeyince gündüz gitmiş
"Yunanistan'da resmi temaslarda bulunan Cumhurbaşkanı Erdoğan, mevkidaşı Katerina Sakelaropulu ile kameralar karşısına geçti. 6 yıl sonra Atina'yı ziyaret eden Erdoğan, ""Burada olmaktan çok mutluyum"" dedi.  Daha fazla detay >> ",Yandım amman öldüm amman sararıp soldum amman kar boran yollar ardında sevdan var seni bırakıp gidemem...
"Yunanistan'da resmi temaslarda bulunan Cumhurbaşkanı Erdoğan, mevkidaşı Katerina Sakelaropulu ile kameralar karşısına geçti. 6 yıl sonra Atina'yı ziyaret eden Erdoğan, ""Burada olmaktan çok mutluyum"" dedi.  Daha fazla detay >> ",Ali Yesildal'i ver bu is huzur icinde cözülsün
"Yunanistan'da resmi temaslarda bulunan Cumhurbaşkanı Erdoğan, mevkidaşı Katerina Sakelaropulu ile kameralar karşısına geçti. 6 yıl sonra Atina'yı ziyaret eden Erdoğan, ""Burada olmaktan çok mutluyum"" dedi.  Daha fazla detay >> ","Kubilaylaylay, Kubilaylaylay, Kubilaylaylay Kubilaylaylay Kubilaylaylayyyy"
"Yunanistan'da resmi temaslarda bulunan Cumhurbaşkanı Erdoğan, mevkidaşı Katerina Sakelaropulu ile kameralar karşısına geçti. 6 yıl sonra Atina'yı ziyaret eden Erdoğan, ""Burada olmaktan çok mutluyum"" dedi.  Daha fazla detay >> ","erebildi bize. İki tarafınki de insaniyet duygusudur. İkili görüşmelerimizin daha ilizm Bakanı Mehmet Nuri Ersoy, Milli Eğitim Bakanı Yusuf Tekin, Milli Savunma Bakanı Yaşar Güler, Ticaret Bakanı Ömer Bolat, Ulaştırma ve Altyapı Bakanı Abdulkadir Uraloğlu, Cumhurbaşkanlığı İletişim Başkanı Fahrettin Altun, Cumhurbaşkanı Başdan"
"Yunanistan'da resmi temaslarda bulunan Cumhurbaşkanı Erdoğan, mevkidaşı Katerina Sakelaropulu ile kameralar karşısına geçti. 6 yıl sonra Atina'yı ziyaret eden Erdoğan, ""Burada olmaktan çok mutluyum"" dedi.  Daha fazla detay >> ",Ansızın gitmiş. 
"Yunanistan'da resmi temaslarda bulunan Cumhurbaşkanı Erdoğan, mevkidaşı Katerina Sakelaropulu ile kameralar karşısına geçti. 6 yıl sonra Atina'yı ziyaret eden Erdoğan, ""Burada olmaktan çok mutluyum"" dedi.  Daha fazla detay >> ",He o lan o nerden bildin yaaaa...
"Yunanistan'da resmi temaslarda bulunan Cumhurbaşkanı Erdoğan, mevkidaşı Katerina Sakelaropulu ile kameralar karşısına geçti. 6 yıl sonra Atina'yı ziyaret eden Erdoğan, ""Burada olmaktan çok mutluyum"" dedi.  Daha fazla detay >> ",Ayıp yaaa… miçoya o kadar sallayıp ayaklarına kadar gitmek???
"Yunanistan'da resmi temaslarda bulunan Cumhurbaşkanı Erdoğan, mevkidaşı Katerina Sakelaropulu ile kameralar karşısına geçti. 6 yıl sonra Atina'yı ziyaret eden Erdoğan, ""Burada olmaktan çok mutluyum"" dedi.  Daha fazla detay >> ",Asla r yapmaz bir gece gideriz dedik ama ziyarete demek istedik :D
"Yunanistan'da resmi temaslarda bulunan Cumhurbaşkanı Erdoğan, mevkidaşı Katerina Sakelaropulu ile kameralar karşısına geçti. 6 yıl sonra Atina'yı ziyaret eden Erdoğan, ""Burada olmaktan çok mutluyum"" dedi.  Daha fazla detay >> ",Asla r yapmaz bir gece gideriz dedik ama ziyarete demek istedik :D
"Kısmetse Olur yarışmasıyla tanınan Simge Nur Erkoç, yanlış estetiğin kurbanı oldu. Çene kontörü yaptıran Erkoç'un yüzünden enjekte edilen sıvı akmaya başladı. Yaşadıklarına isyan eden ve doktora dava açan fenomen, ""En yüksek cezayı almasını sağlayacağım"" dedi. ",bize ne senin estetiğinden?! şu tipleri haber yapmayın be.
"Kısmetse Olur yarışmasıyla tanınan Simge Nur Erkoç, yanlış estetiğin kurbanı oldu. Çene kontörü yaptıran Erkoç'un yüzünden enjekte edilen sıvı akmaya başladı. Yaşadıklarına isyan eden ve doktora dava açan fenomen, ""En yüksek cezayı almasını sağlayacağım"" dedi. ","Kısmet değilmiş,,!"
"ABD'de öğrencilerine müstehcen notlar bıraktığı için görev yaptığı okuldan kovulan öğretmenler, tüm eleştirilere rağmen sosyal medya hesabından müstehcen içerikli paylaşımlar yapmaya devam ediyor. ",maşallah ne güzel bayan... hele gülümsemesi :-) 
"ABD'de öğrencilerine müstehcen notlar bıraktığı için görev yaptığı okuldan kovulan öğretmenler, tüm eleştirilere rağmen sosyal medya hesabından müstehcen içerikli paylaşımlar yapmaya devam ediyor. ",Kadin Yaniyo ögrenci Desen Haci Sakirden Uslanmis Hal öyle Olunca Karismamak En Dogrusu
"ABD'de öğrencilerine müstehcen notlar bıraktığı için görev yaptığı okuldan kovulan öğretmenler, tüm eleştirilere rağmen sosyal medya hesabından müstehcen içerikli paylaşımlar yapmaya devam ediyor. ",İlk derslere talip olsun; kendi için de iyi olur.
"ABD'de öğrencilerine müstehcen notlar bıraktığı için görev yaptığı okuldan kovulan öğretmenler, tüm eleştirilere rağmen sosyal medya hesabından müstehcen içerikli paylaşımlar yapmaya devam ediyor. ",Hiç beklemesin hemen bugün acil evlensin.. 
"Muğla'nın Bodrum ilçesinde, çöp konteynerinin yanında derisi yüzülmüş bir tilki bulundu. Hayvanın ölüsü incelenmek üzere alınırken, deriyi yüzen kişi ya da kişilerin yakalanması için çalışma başlatıldı. ",kürkü icin hayvani katletmisler sanki 
"Muğla'nın Bodrum ilçesinde, çöp konteynerinin yanında derisi yüzülmüş bir tilki bulundu. Hayvanın ölüsü incelenmek üzere alınırken, deriyi yüzen kişi ya da kişilerin yakalanması için çalışma başlatıldı. ",Kürk yapmislardir
"Muğla'nın Bodrum ilçesinde, çöp konteynerinin yanında derisi yüzülmüş bir tilki bulundu. Hayvanın ölüsü incelenmek üzere alınırken, deriyi yüzen kişi ya da kişilerin yakalanması için çalışma başlatıldı. ",Bulup yüzün derilerini 
Meclis Genel Kurulu'nda yaptığı konuşmanın sonunda bir anda yere düşen ve kafasını merdivenlere çarpan Saadet Partisi Kocaeli Milletvekili Hasan Bitmez'in son durumuna ilişkin Bakan Koca ve TBMM Genel Başkanı Kurtulmuş açıklamalarda bulundu. Her iki isim de Bitmez'in durumunun son derece kritik ve ciddi olduğunu belirtti. ,Hasan Bitmez'e Şafii Zülcelal olan yüce Rabbimden şifalar niyaz ediyorum. Ne kadar uğraşırlar da uğraşsınlar bu memlekette Hasan Bey gibi mücahitler Bitmez!
Meclis Genel Kurulu'nda yaptığı konuşmanın sonunda bir anda yere düşen ve kafasını merdivenlere çarpan Saadet Partisi Kocaeli Milletvekili Hasan Bitmez'in son durumuna ilişkin Bakan Koca ve TBMM Genel Başkanı Kurtulmuş açıklamalarda bulundu. Her iki isim de Bitmez'in durumunun son derece kritik ve ciddi olduğunu belirtti. ,"Adam son konuşmasını çok güzel yaptı ölsede gam yemez emin olun , mekanın cennet olsun paşam "
"İki kırmızı kartın çıktığı Çaykur Rizespor maçının ardından hakem Halil Umut Meler'e yönelik yumruklu saldırı sonrası gözaltı sayısı 6'ya yükselirken, Türk futbolunu rezil eden Ankaragücü Başkanı Faruk Koca ve 2 kişi adliyeye sevk edildi. Öte yandan; skandal olay nedeniyle tüm liglerdeki maçlar süresiz olarak ertelendi. ",3 alt lige düşürülmeli caydırıcı bir ceza olmalı suçun şahsiliği ile alakalı bir durum dğil madem bu adam o klübe başkan seçilmiş sonuçlarını seçenlerle beraber klüp çekmeli aksi caydırıcı olmaz daha çok görürrüz bu olayları. ayrıca hakemlerde iyi denetlenmeli keyfi taraflı kararlarına karşı onlarada caydırıcı cezalar verilmeli ..tabi hukuk işletilerek 
"İki kırmızı kartın çıktığı Çaykur Rizespor maçının ardından hakem Halil Umut Meler'e yönelik yumruklu saldırı sonrası gözaltı sayısı 6'ya yükselirken, Türk futbolunu rezil eden Ankaragücü Başkanı Faruk Koca ve 2 kişi adliyeye sevk edildi. Öte yandan; skandal olay nedeniyle tüm liglerdeki maçlar süresiz olarak ertelendi. ",Ankaragücü sokaklarda top oynasın taraftarlar için kaldırımlar tribün olur. Ankaragücü takımını kötü gününde bile asla yalnız bırakmaz. 
"İki kırmızı kartın çıktığı Çaykur Rizespor maçının ardından hakem Halil Umut Meler'e yönelik yumruklu saldırı sonrası gözaltı sayısı 6'ya yükselirken, Türk futbolunu rezil eden Ankaragücü Başkanı Faruk Koca ve 2 kişi adliyeye sevk edildi. Öte yandan; skandal olay nedeniyle tüm liglerdeki maçlar süresiz olarak ertelendi. ",Ankaragücü küme düşürülmeli. Bu kadar basit.
"İki kırmızı kartın çıktığı Çaykur Rizespor maçının ardından hakem Halil Umut Meler'e yönelik yumruklu saldırı sonrası gözaltı sayısı 6'ya yükselirken, Türk futbolunu rezil eden Ankaragücü Başkanı Faruk Koca ve 2 kişi adliyeye sevk edildi. Öte yandan; skandal olay nedeniyle tüm liglerdeki maçlar süresiz olarak ertelendi. ",O kadar basit olmamalı aslında.Küme ye düşürmek yetmez bu durumun kesinlikle caydırıcılığı olması lazım ama malesef ülkemizde ki hukuk sisteminde hiç birşeyin caydırıcılığı olmadığı için buda onun yanına kar kalacak.... 
"İki kırmızı kartın çıktığı Çaykur Rizespor maçının ardından hakem Halil Umut Meler'e yönelik yumruklu saldırı sonrası gözaltı sayısı 6'ya yükselirken, Türk futbolunu rezil eden Ankaragücü Başkanı Faruk Koca ve 2 kişi adliyeye sevk edildi. Öte yandan; skandal olay nedeniyle tüm liglerdeki maçlar süresiz olarak ertelendi. ",Akşama serbest zaten pek uzatmanın manası yok :)
"İki kırmızı kartın çıktığı Çaykur Rizespor maçının ardından hakem Halil Umut Meler'e yönelik yumruklu saldırı sonrası gözaltı sayısı 6'ya yükselirken, Türk futbolunu rezil eden Ankaragücü Başkanı Faruk Koca ve 2 kişi adliyeye sevk edildi. Öte yandan; skandal olay nedeniyle tüm liglerdeki maçlar süresiz olarak ertelendi. ",hiçbir şey çıkmaz dayağın suçu yok gündem doldurmaca
"İki kırmızı kartın çıktığı Çaykur Rizespor maçının ardından hakem Halil Umut Meler'e yönelik yumruklu saldırı sonrası gözaltı sayısı 6'ya yükselirken, Türk futbolunu rezil eden Ankaragücü Başkanı Faruk Koca ve 2 kişi adliyeye sevk edildi. Öte yandan; skandal olay nedeniyle tüm liglerdeki maçlar süresiz olarak ertelendi. ",Medyacılar Gazeeciler ve Spor Kanalları Yorumcuları son 3 senedir hakemler kötü kötü kötü diye gazladınız gazladınız şimdi olay olunca hakemci oluyorsunuz hayırdır
"İBB ve AB işbirliği ile hayata geçirilen ""İstanbul Sürdürülebilir Kentsel Ulaşım Planı"" kapsamında megakentte yeni adımlar atılıyor. İstanbul'da hem trafik yoğunluğunu azaltmak hem de çevre sağlığını desteklemek için Tarihi Yarımada, Kadıköy ve Beyoğlu'na özel araçlarla giriş ücretli olacak. Uygulama ilk olarak pilot bölge seçilen Tarihi Yarımada'da başlayacak. ",avrupada böyle benzer uygulamanin oldugu bir sehirde yasiyorum istanbul dünyanin en gözde metropollerinden biri ve her yil milyonlarca turist geliyor avrupadaki bazi sehirlerde oldugu gibi cüzi bir ayak basti tabir edilen bir vergi uygulansa bir cok eksiklige veya ihtiyacli insanlara aktarabilinir. 
"İBB ve AB işbirliği ile hayata geçirilen ""İstanbul Sürdürülebilir Kentsel Ulaşım Planı"" kapsamında megakentte yeni adımlar atılıyor. İstanbul'da hem trafik yoğunluğunu azaltmak hem de çevre sağlığını desteklemek için Tarihi Yarımada, Kadıköy ve Beyoğlu'na özel araçlarla giriş ücretli olacak. Uygulama ilk olarak pilot bölge seçilen Tarihi Yarımada'da başlayacak. ",Mülteciler gönderilirse yabancılara arsa toprak satılmazsa zaten her şey rahatlar. kiralar bile düşer.
"İBB ve AB işbirliği ile hayata geçirilen ""İstanbul Sürdürülebilir Kentsel Ulaşım Planı"" kapsamında megakentte yeni adımlar atılıyor. İstanbul'da hem trafik yoğunluğunu azaltmak hem de çevre sağlığını desteklemek için Tarihi Yarımada, Kadıköy ve Beyoğlu'na özel araçlarla giriş ücretli olacak. Uygulama ilk olarak pilot bölge seçilen Tarihi Yarımada'da başlayacak. ",istanbulu yaşanabilir bir şehir yapmak için şehir merkezlerinin toplu taşıma haricinde ikamet edenler hariç araç girişi yasaklanırsa istanbul rahat nefes alır kadıköy mecidiyeköy eminönü sultanahmet gibi yerlere giriş yasaklanmalı..
