Unnamed: 0,Yorumlar,Duygular
16,"['Turkcellden', 'geçiş', 'yapiyorum', 'ulan', 'avea', 'ya', 'kazik', 'amk', 'turkcell']",['olumsuz']
17,"['cok', 'kazıksın', 'turkcell', '.']",['olumsuz']
18,"['Paranla', 'rezil', 'olmak', 'istersen', 'Turkcell', ""'"", 'e', 'abone', 'olacaksın', '...', '3', 'G', 'parası', 'ödeyip', 'edge', 'internet', 'hizmeti', 'alacaksın', '...', '@', 'TurkcellHizmet']",['olumsuz']
19,"['Turkcell', 'müşteri', 'hizmetleri', 'kalitesi', '0', 'denilebilir']",['olumsuz']
20,"['turkcell', 'den', '18', 'yıl', 'sonra', 'nihayet', 'kurtuldum', '.']",['olumsuz']
21,"['Turkcell', 'kanımı', 'emdin', 'kanımı']",['olumsuz']
22,"['Aptal', 'turkcell', 'niye', 'edge', 'cekiyor']",['olumsuz']
23,"['Turkcell', 'bir', 'insan', 'olarak', 'vücut', 'bulsaydı', ',', 'böbreklerinizi', 'çalıp', 'satan', 'türden', 'biri', 'olurdu', '.', 'Tek', 'farkı', ',', 'size', 'bunun', 'için', 'fatura', 'da', 'yollardı']",['olumsuz']
24,"['Turkcell', 'kadar', 'kazıkçı', 'bir', 'yer', 'görmedim']",['olumsuz']
25,"['Turkcell', 'müsteri', 'hizmetleri', 'araması', ',', 'yolda', 'yürürken', 'ayağını', 'burkmak', 'veya', 'çanta', 'cüzdan', 'kaybetmek', 'kadar', 'sinir', 'bozucu']",['olumsuz']
26,"['Ulaşılması', 'çok', 'güç', 'biriyim', 'uğraşmayın', '.', 'Yok', 'lan', 'öyle', 'değil', 'Turkcell', 'kullanıyorum', 'çekmiyor', 'her', 'zaman', 'ondan']",['olumsuz']
27,"['Numaramı', 'bu', 'hırsızlara', 'paylaşan', ""turkcell'inde"", 'allah', 'belasını', 'versin']",['olumsuz']
28,"['sevgili', 'turkcell', 'neden', 'telefon', 'numaralarımızı', 'satıyorsun', 'veya', 'bir', 'başkasına', 'veriyorsun', '?', 'iznin', 'var', 'mı', 'buna']",['olumsuz']
29,"['Sıradaki', 'küfürlerim', 'sırası', 'ile', 'ÖSYM', ',', 'İETT', 've', 'Turkcell', ""'"", 'e', 'gelsin']",['olumsuz']
30,"['Turkcell', 'sana', 'lanet', 'olsun']",['olumsuz']
31,"['Turkcell', 'tam', 'anlamıyla', 'insanı', 'sömürüyosun']",['olumsuz']
32,"['Resmen', 'turkcell', 'beni', 'kazıkladı']",['olumsuz']
33,"['Turkcell', 'harbiden', 'hırsız', 'amk', 'bi', 'internet', 'paketine', '20', 'tl', 'veriyoruz']",['olumsuz']
34,"['Turkcell', 'sen', 'ne', 'kazıkçı', 'bir', 'operatörsün', '.', 'Insanları', 'çok', 'iyi', 'soyuyorsun', 'demiyorum', ',', 'âdeta', 'kazığa', 'oturtuyorsun', '.', 'Sana', 'yol', 'göründü']",['olumsuz']
35,"['Ulan', 'paketin', 'bitmiş', '15dakikam', 'boşa', 'gitti', '.', 'Haram', 'olsun', 'turkcell', '.']",['olumsuz']
36,"['Allah', 'belanı', 'versin', 'senin', 'hem', 'ttnet', 'hem', 'turkcell', 'yıl', '2014', 'patatesle', 'bağlanıyoruz', 'internete']",['olumsuz']
37,"['Yarım', 'saattir', 'internete', 'bağlanmaya', 'çalışıyorum', 'sevgili', 'Turkcell', ',', 'bu', 'aralar', 'bi', 'mal', 'bu', 'internet', 'hayırdır', 'sizin', 'istasyonlara', 'da', 'mı', 'kedi', 'girdi']",['olumsuz']
38,"['Durup', 'duruken', 'tl', 'lerimi', 'yiyen', 'turkcell', 'kör', 'kuyularda', 'ışıksız', 'kalırsın', 'inşallah']",['olumsuz']
39,"['Turkcell', 'neden', ""Çanakkale'nin"", 'göbeğinde', 'iyi', 'çekmiyor', 'acaba', '?', '3G', 'acınası', 'halde', '!', '@', 'Turkcell']",['olumsuz']
40,"['Turkcell', 'den', 'kurtuldum', '.', 'Vodafone', 'lu', 'olmanın', 'verdigi', 'mutluluk']",['olumsuz']
41,"['Artık', 'bizimle', 'değilsin', 'turkcell']",['olumsuz']
42,"['Neden', 'turkcell', 'benim', 'odada', 'çekmiyor']",['olumsuz']
43,"['Turkcell', 'beni', 'kazıklıyo', 'bolca', 'vay', 'vay']",['olumsuz']
44,"['Turkcell', 'den', 'telefon', 'aldim', 'basima', 'gelmeyen', 'kalmadi', '.', 'Almayi', 'dusunenler', 'dikkat', 'etsin']",['olumsuz']
45,"['Sana', 'verdiğim', 'paralar', 'haram', 'olsun', 'turkcell', 'cart', 'cekıyo', 'curt', 'cekiyo', 'b.k', 'cekiyo']",['olumsuz']
46,"['Ne', 'kadar', 'aptalsın', 'belli', 'değil', 'turkcell']",['olumsuz']
47,"['Turkcell', 'benimle', 'dalga', 'geçiyor', '14', 'kubat', 'ney', 'la']",['olumsuz']
48,"['14', 'KUBAT', 'ne', 'turkcell', 'yanlızlıgımızı', 'yüzümüze', 'mi', 'vuruyon']",['olumsuz']
49,"['Aveaya', 'iyi', 'ki', 'geçmişim', 'turkcell', 'harbi', 'kazıklıyor']",['olumsuz']
50,"['Turkcell', 'reklamı', 'kadar', 'hayalperest', 'bi', 'reklam', 'görmedim', '.', 'Aynı', 'şehirde', 'bile', 'aşk', 'yaşamayı', 'beceremeyen', 'insanlar', 'var', 'kaldı', 'ki', 'ayrı', 'şehirde', 'pehhh']",['olumsuz']
51,"['Turkcell', 'iletmedigin', 'mesajlarin', 'her', 'biri', 'icin', 'ayri', 'ayri', 'sovuyorum', 'sana']",['olumsuz']
52,"['Turkcell', 'bi', 'sus', 'bi', 'git', 'bi', 'rahat', 'birak', 'artik', 'yetmedi', 'mi', 'cektirdigin', 'yeter']",['olumsuz']
53,"['Sevgili', 'turkcell', 'Allah', 'vericilerinize', 'ateşler', 'düşürsün', 'birliklerinizi', 'bozsun', '!', 'Amin']",['olumsuz']
54,"['Lan', 'turkcell', 'ne', 'yüzsüz', 'çıktı', 'sabahtan', 'beri', '3', 'kere', 'arıyo', 'yeter', 'lan']",['olumsuz']
55,"['Turkcell', 'kadar', 'paraya', 'doymayan', 'baska', 'bir', 'operatör', 'görmedim', '!', '!', '!', 'Toprak', 'doyursun', 'yüzünüzü']",['olumsuz']
56,"['Alanda', 'turkcell', 'iptal', 'vaziyette', '.', 'İnternet', 'hic', 'yok', '.', 'Onbinlerce', 'insan', 'var', ',', 'izdiham', 'derecesinde', 'kalabalik', '.']",['olumsuz']
57,"['sms', 'paketi', 'istediğim', 'halde', 'internet', 'paketi', 'yollayan', 'itici', 'turkcell', '.', 'aveaya', 'geçerim', 'hacı', 'ben']",['olumsuz']
58,"['Turkcell', 'in', 'babannesi', 'kaşar']",['olumsuz']
59,"['Demin', 'mesaj', 'geldi', 'bi', 'heyecanlandim', 'lan', 'senin', 'yuzunden', 'allah', 'belani', 'versin', 'Turkcell']",['olumsuz']
60,"['Turkcell', 'sabit', 'faturam', 'neden', 'hic', 'sabit', 'gelmiyor', '!', '!', 'Sana', 'verdigim', 'parayla', 'arabayi', 'yenilerim']",['olumsuz']
61,"['Tlf', 'acil', 'arama', 'yapabilirsn', 'diyo', 'acil', 'aramam', 'gereken', 'yeri', 'aramio', '!', '!', '!', '!', 'Yesilkoyde', 'turkcell', 'sebekesi', 'yokkk', 'saatlerdir']",['olumsuz']
62,"['Turkcell', 'superonline', 'senin', 'kadar', 'salakça', 'hizmet', 'veren', 'bir', 'kurum', 'daha', 'yok']",['olumsuz']
63,"['Turkcell', '15', 'tlyı', 'sen', 'nereye', 'aldın', 'nereye', 'lanet', 'olsun', 'yazık', 'verdıgımıze', 'yaa', 'yazık']",['olumsuz']
64,"['@', 'oguzsaripinar', '@', 'TurkcellHizmet', 'kesinlikle', 'sikayetciyim', ',', 'kesinlikle', 'birakicam', 'Turkcell', ""'"", 'i']",['olumsuz']
65,"['turkcell', 'hattım', 'dondurulacak', 'mesaj', 've', 'aramalara', 'cevap', 'veremeyecegım']",['olumsuz']
66,"['Bu', 'turkcell', 'beni', 'illa', 'deli', 'edicek']",['olumsuz']
67,"['şu', ""Turkcell'in"", 'reklamları', 'hiç', 'samimi', 'gelmiyor', ',', 'extralarda', 'çalışanları', 'da', 'suratsiz', 've', 'müşteri', 'memnuniyetinden', 'anlamayan', 'angutlarla', 'dolu']",['olumsuz']
68,"['lan', 'turkcell', 'yeter', 'lan', ',', 'akıllı', 'kadınlar', 'kulübü', 'mesajı', 'atıp', 'durma']",['olumsuz']
69,"['Turkcell', 'eskiden', 'sadece', 'mesaj', 'atardı', 'şimdi', 'aramaya', 'da', 'başladı', 'çok', 'sinir', 'bozucu', '.']",['olumsuz']
70,"['Turkcell', ""'"", 'e', '1', ""tl'min"", 'hesabını', 'yaptım.Küfür', 'dolu', 'mesaj', 'attım.Mutluyum']",['olumsuz']
71,"['Turkcell', 'şimdi', 'küfürü', 'hakediyor', 'ama', 'he', 'youtubede', 'reklamlardan', 'geçilmiyor', 'lan']",['olumsuz']
72,"['Niye', 'Turkcell', ""'"", 'i', 'hiç', 'sevmediğimi', 've', 'kullanmadığımı', 'şimdi', 'anladım', '...', 'Renkleri', 'itici', 'gelmiş', 'bana', 'demek', 'ki', 'hiç', 'kanım', 'ısınmamı']",['olumsuz']
73,"['Lanet', 'olsun', 'turkcell', 'sana']",['olumsuz']
74,"['Telefonum', 'iyice', 'sapitti', 'turkcell', 'seninde', 'canın', 'cehenneme']",['olumsuz']
75,"['Turkcell', 'herşeyden', 'para', 'kazanmayı', 'planlayıp', 'turbo', 'internet', 'çıkaracağına', 'önce', 'eldeki', 'müşteriyi', 'elde', 'tutmaya', 'çalış', 'internet', 'feci', 'yavaş']",['olumsuz']
76,"['Turkcell', 'kadar', 'sömürücü', 'bir', 'gsm', 'operatör', 'görmedim']",['olumsuz']
77,"['Turkcell', 'de', 'iyice', 'suyunu', 'cıkardı']",['olumsuz']
78,"['Turkcell', 'reklamları', 'kadar', 'itici', 'bişey', 'yok', 'bence']",['olumsuz']
79,"['Bu', 'Turkcell', 'gelene', 'geçene', 'geçiriyor', 'kardeşim', 'bu', 'kadar', 'net', '.', 'Tarife', 'yenilenmesin', 'farklı', 'operatöre', 'geçicem', 'dedim', 'inadına', 'yenilemişler']",['olumsuz']
80,"['İlk', 'defa', ""Turkcell'den"", 'nefret', 'ettim', 'şu', 'an']",['olumsuz']
81,"['Telefonum', 've', 'turkcell', 'beni', 'hayattan', 'soguttu']",['olumsuz']
82,"['Turkcell', 'bana', 'yuklenıyor', 'bırazdan', 'bende', 'ona', 'yuklenıcem', '.', 'Ulan', 'mesaj', 'atacagınıza', 'kustepeye', 'bı', 'dırek', 'dıkın', '.', 'Dusun', 'turkcell', 'cekmıyor']",['olumsuz']
83,"['turkcell', 'kadar', 'kazıkcı', 'bir', 'operatör', 'yok']",['olumsuz']
84,"['Evet', 'heer', 'zamanki', 'gibi', 'faturami', 'odemeyi', 'unuturum', 've', 'telefonumuu', 'kapatirlar', 'ayıp', 'ya', 'niye', 'hatırlatmiyosun', 'turkcell', 'kardesim']",['olumsuz']
85,"['ulan', 'turkcell', 'Allah', 'senin', 'bin', 'türlü', 'belanı', 'versin', '.', 'boşu', 'boşuna', '89', 'kontörümü', 'yedin', 'haram', 'olur', 'inşallah']",['olumsuz']
86,"[""Turkcell'den"", 'yediğim', 'kazığı', 'hiçkimseden', 'yemedim', 'arkadaş']",['olumsuz']
87,"['Dünyanın', 'en', 'samimiyetsiz', 've', 'saçma', 'tanıtıcı', 'reklamı', 'alp', 'kırşanın', 'annesi', 'ile', 'diyaloğu', 'olan', 'reklam', 'turkcell', 'sana', 'yakışmıyor']",['olumsuz']
88,"['Su', 'andan', 'itibaren', 'Turkcell', 'hattım', 'hiçbir', 'şekilde', 'çekmiyor', 've', 'şebeke', 'yok']",['olumsuz']
89,"['Allah', 'seni', 'kahretsin', 'turkcell', ""bbm'de"", '10', 'tl', 'yapilirmi', 'ya', 'yazik', 'bize', 'Len', '..', '#', 'turkcell']",['olumsuz']
90,"['telefonsuz', '4.günüm', 'burda', 'herşey', 'yolunda', 'mobilite', 'konusunda', 'sıkıntılar', 'var', 'teşekkürler', 'turkcell', 'turkcellhizmet']",['olumsuz']
91,"['turkcell', 'yıllardır', 'turkcell', 'kullanana', 'kıyak', 'yapma', 'yenisine', 'yap', 'ayıp', 'değilmi', '..', 'sanki', 'bulunmaz', 'hint', 'kumaşısınız', 'bırakıyorum', 'artık', 'yeter', '..']",['olumsuz']
92,"['tamam', 'turkcell', '400', 'mb', 'kaldı', 'sömürdün', 'bitirdin', 'bizi', 'yeterince', 'yeter', '...']",['olumsuz']
93,"['öğrenciye', '90', 'tl', 'fatura', 'kesiyosun', 'turkcell', 'neden', 'boyle', 'yapiyosun', 'turkcell']",['olumsuz']
94,"['turkcell', 'e', 'de', 'mi', 'kar', 'yağdı', 'acaba', '?', '3g', 'ile', 'bile', 'mi', '1', 'çeker', '!']",['olumsuz']
95,"['internetim', 'twitterdan', 'başka', 'hiç', 'bir', 'yere', 'girmeme', 'izin', 'vermiyor', '.', 'teşekkürler', 'turkcell']",['olumsuz']
96,"['izmirin', 'heryerinde', 'çeken', 'turkcell', 'bi', 'bizim', 'evde', 'adam', 'gibiç', 'ekmiyor']",['olumsuz']
97,"['bir', 'ton', 'para', 'veriyoruz', 'ama', 'adam', 'gibi', 'bir', 'hizmet', 'alamiyoruz', '.', 'hani', 'en', 'iyi', 'internet', 'sizdeydi', '?', 'turkcell', 'turkcellhizmet']",['olumsuz']
98,"['turkcell', 'tfit', 'almayın', '.', 'teknik', 'servis', 'yok', '.', 'kol', 'sallamasını', 'adım', 'sayması', 'olarak', 'gösterir', '.', 'uyku', 'modunda', 'takılır', '.', 'arada', 'kendisini', 'sıfırlar', '.']",['olumsuz']
99,"['faturayı', 'geçirdiğinizin', 'farkındasınız', 'yani', '?', 'neyse', 'geç', 'olsun', 'da', 'güç', 'olmasın', 'be', 'cnm', 'turkcell']",['olumsuz']
100,"['turkcell', '50', 'dakka', 'hediye', 'verdi', 'ben', 'harcayamadan', 'aldı', 'onuda', 'bunlar', 'hep', 'yalnızlık']",['olumsuz']
101,"['turkcell', 'turkcell', 'hattı', 'olan', 'kımseyı', 'kesınlıkle', 'aramıyorum', 'artık', 'turkkcell', 'hattı', 'olanda', 'benı', 'sakın', 'aramasın', '!', '!', '!', '!', '!', '!', '!', '!']",['olumsuz']
102,"['burdan', 'turkcell', 'e', 'selamlarımı', 'iletiyorum', 'avcılarda', 'telefon', 'nasıl', 'çekmez']",['olumsuz']
103,"['sonunda', 'bugün', 'kurtuldum', 'senden', 'sayın', 'turkcell']",['olumsuz']
104,"['turkcell', 'e', 'hem', 'cihazin', 'parasini', 'hem', 'kampanya', 'parasi', 'verecegim', 'bide', 'daha', 'ortada', 'telefon', 'yokken.ama', 'kesinlikle', 'herkesin', 'hattini', 'degistiricem']",['olumsuz']
105,"['10', 'kisi', 'birden', 'cuma', 'namazina', 'gitmis', 'artik', 'turkcell', 'ede', 'alternatifi', 'oldugunu', 'hissettirmeli', 'herkes.bu', 'nasil', 'ciddiyetsiz', 'bi', 'sube']",['olumsuz']
106,"['turkcell', 'fiber', 'internet', 'ışık', 'hızında', 'gerçekten', '.', '20', 'dakikalık', 'videoyu', '1', 'saatte', 'ancak', 'izleyebiliyorsun', ',', 'müthiş', '!']",['olumsuz']
107,"['turkcell', 'menu', 'yeter', 'daa', 'anladik', 'mesaji', 'ben', 'iptal', 'etmekten', 'yoruldum', 'sen', 'gondermekten', 'yorulmadin', ':', '(']",['olumsuz']
108,"['turkcell', 'verdigim', 'paralari', 'geri', 'istiyorum', '.', 'turbo', 'hizda', 'internet', ',', 'amerikadan', 'hizli', 'internet', ',', 'salla', 'tırtcell', 'meydan', 'boş', ',']",['olumsuz']
109,"['güle', 'güle', 'turkcell', ',', '10', 'yıl', 'boyunca', 'sömürdüğün', 'emeklerden', 'dolayı', 'lanet', 'eder', ',', 'bundan', 'sonraki', 'hayatında', 'başarılar', 'dilerim', '.', 'bol', 'şans', 'turkcell']",['olumsuz']
110,"['turkcell', 'ile', 'olan', '20', 'yıllık', 'birlikteliğimi', 'bitirme', 'kararı', 'aldım', '...', 'daha', 'fazla', 'sömürülmeye', 'dayanamayacağım', '..']",['olumsuz']
111,"['size', 'odedigim', 'paralar', 'haram', 'zikkim', 'olsun', 'istanbulun', 'gobeginde', 'telefonum', 'cekmiyo', 'internet', 'paketimide', 'kullanamiyorum', 'turkcell', 'turkcellhizmet']",['olumsuz']
112,"['günlerdir', 'bu', 'saatlerde', 'turkcell', 'hesabım', 'hizmet', 'vermeyi', 'kesiyor', 've', 'sabaha', 'paketim', 'azalmış', 'oluyor', '.', 'göz', 'göre', 'göre', '...']",['olumsuz']
113,"['mobil', 'internete', 'ne', 'oluyor', '?', 'yarım', 'saattir', '3g', 'falan', 'yok', ',', 'hızı', 'yerlebir', '?', 'turkcellhizmet', 'turkcell']",['olumsuz']
114,"['biri', 'artık', 'turkcell', ""'"", 'e', ';', '50', 'liraya', ""'olay"", ""'"", 'yaptığı', 'paketi', ',', 'diğer', 'operatörlerde', '25', 'liraya', 'kullandığımızı', 'söylesin', ',', 'kazık', '...', 'ayy', 'yazık', 'diycektim', '.']",['olumsuz']
115,"['abi', 'allah', 'askina', 'bana', 'şöyle', 'sinirsiz', 'hizı', 'düşmeyen', 'bi', 'interneti', 'paketi', 'verin', 'artik', '.', 'yeminle', 'bezdim', 'artik', 'turkcell']",['olumsuz']
116,"['turkcell', 'çok', 'pahalısın', 'anam', 'başkalarını', 'kandır']",['olumsuz']
117,"['turkcell4g', 'daha', 'bizim', 'evde', 'telefon', 'çekmiyor', '4g', 'mi', '?', 'turkcell']",['olumsuz']
118,"['odamda', 'turkcell', '2g', 'zor', 'çekiyor', 'bide', '4g', 'ye', 'geçiyor', 'diyolar', 'palavere', 'bunlar']",['olumsuz']
119,"['demekki', 'neymiş', 'turkcell', '-akcell', 'olursa', 'degeri', '%', '20', 'düşermiş.demokratik', 'tepkimiz', 'devam', 'edecek', '.', 'mehmetcheliklv', 'bkenes']",['olumsuz']
120,"['bu', 'turkcell', 'niye', 'cekmez', 'ya', '..', '?']",['olumsuz']
121,"['turkcell', 'siz', 'asıl', 'işinizi', 'yapmayıp', 'böyle', 'şeylerle', 'uğraşmaya', 'devam', 'edin', '!', '!', '!', 'taksimde', 'turkcell', 'çekmiyor']",['olumsuz']
122,"['ne', 'yapsak', 'da', 'bu', 'müşteriyi', 'söğüşlesek', 'diye', 'düşünüyolar', 'resmen', '.', 'iliğimi', 'kuruttun', 'turkcell', 'her', 'ay', '30', 'lira', 'neyinize', 'yetmiyo', 'allahsızlar', '.']",['olumsuz']
123,"['ulam', 'tl', 'yükledim', '1', 'haftadır', 'paket', 'yapıcam', 'hangi', 'paketi', 'denesem', 'yok', 'şu', 'kriter', 'yok', 'bu', 'kriter', 'bezdim', 'yeminle', '.', 'kriterinize', '..', 'turkcell']",['olumsuz']
124,"['turkcell', 'vodafona', 'geçtim', 'hâlâ', 'mesaj', 'atiyosun', 'turkcell', 'ne', 'yüzsüzsün']",['olumsuz']
125,"['en', 'kazık', 'hat', 'turkcell', 'ama', 'ülkenin', 'yarısı', 'onu', 'kullanıyor']",['olumsuz']
126,"['allah', 'bin', 'kere', 'belanı', 'versin', 'turkcell', 'bu', 'saatte', 'mesaj', 'atıp', 'heycanlandırıyosun', '.']",['olumsuz']
127,"['gnctrkcll', 'turkcell', 'turkcellhizmet', 'siz', 'yapılan', 'şikayetleri', 'geri', 'dönüş', 'yapmamak', 'için', 'mi', 'alıyorsunuz', '?']",['olumsuz']
128,"['bugeceyine', ""turkcell'in"", 'çekmediği', 'yüzde', '0.004', 'lük', 'bölge', 'benim', 'evim', '.']",['olumsuz']
129,"['turkcell', 'tam', '20', 'yıldır', 'iyi', 'öpüyorsunuz', 'herkese', 'düzgün', 'ınternet', 'paketi', 'verseniz', 'ya', '50', 'gb', 'parasına', '4', 'gb', 'allahtan', 'korkun']",['olumsuz']
130,"['sen', 'bitmişsin', 'turkcell']",['olumsuz']
131,"['40', 'tl', 'ye', 'internet', 'paketimi', 'olur', 'be', 'insafsızlar', 'fakirin', 'halinden', 'anlayın', 'azcık', ':', ')', 'turkcell']",['olumsuz']
132,"['gece', 'saat', ""2'de"", '2adet', 'fatuta', 'bilgilendirme', 'mesajı', 'attığın', 'için', 'sağol', 'turkcell', 'turkcellhizmet', '.', 'öğrenemesem', 'uyku', 'tutmaz', ',', 'işe', 'gec', 'kalırdım', '.']",['olumsuz']
133,"['türkiyenin', 'en', 'büyük', 'ağı', 'olduğunu', 'iddaa', 'eden', 'turkcell', 'nasıl', 'oluyorda', 'bizim', 'evde', 'çekmiyor', '?', 'turkcellhizmet', 'lanetolsunsana']",['olumsuz']
134,"['++nerde', 'kaldı', 'senin', 'iletişimde', 'öncülügun', '.', 'su', 'maillere', 'bi', 'dönüş', 'yapın', 'artik', '.', 'turkcell', 'turkcellpaf']",['olumsuz']
135,"['apaydinreha', 'aynen', '.', 'turkcell', 'i', 'protesto', 'ediyoruz']",['olumsuz']
136,"['turkcell', '2.', 'aramam', 'yarın', 'ilk', 'is', ""avea'ya"", 'gecmek', 'olacak', '.', 'benimle', 'birlikte', '3', 'platin', 'üyeniz', 'de', 'aveali', 'olacak', '.']",['olumsuz']
137,"['siz', 'müşteriyi', 'memnun', 'değil', ',', 'her', 'zaman', 'mağdur', 'ediyorsunuz', '!', 'sesimizi', 'duyun', 'artık', '!', '!', '!', '!', 'turkcell']",['olumsuz']
138,"['ne', 'demek', 'telefon', 'faturasi', '200', 'tl', 'ya', 'al', 'be', 'al', 'kartimi', 'vereyim', 'direkt', 'maas', 'sana', 'yatsin', 'be', 'turkcell', 'al', '.']",['olumsuz']
139,"['fenerbahçe', 'kadar', 'taş', 'düşsün', 'başınıza', '!', 'turkcell', 'turkcellhizmet', 'superonlinetr']",['olumsuz']
140,"['turkcellhizmet', 'turkcell', 'gnctrkcll', 'hem', 'hız', 'testi', 'istiyorsunuz', 'hem', 'cevabı', 'beklemeden', 'konuşmayı', 'kapıyorsunuz.adam', 'gibi', 'çalışcak', 'elaman', 'alın', '!']",['olumsuz']
141,"['bu', 'turkcell', 'adamı', 'kanser', 'eder']",['olumsuz']
142,"['hayır', 'giden', 'parada', 'değilim', ',', 'hepsi', 'sizin', 'olsun', 'da,35', ""tl'lik"", 'faturaya', '30', 'tl', 'damga', 'vergisi', 'geçirmek', ',', 'büyük', 'marifet', 'turkcell']",['olumsuz']
143,"['500dk', 'konuşma', ',', '1000', 'sms', ',', '2', 'gb', 'internet', 'paketi', ""turkcell'de"", '45tl', ';', ""vodafone'da"", '25tl', '.', 'adalet', '?']",['olumsuz']
144,"['tempobet_turkey', 'siteye', 'avea', 've', 'vodafone', ""'dan"", 'erişim', 'varken', 'turkcell', ""'den"", 'erişim', 'saglayamiyoruz', 'bu', 'konuda', 'sizde', 'bir', 'bilgi', 'var', 'mı', '?']",['olumsuz']
145,"['söylesene', 'turkcell', 'odamda', 'neden', 'çekmiyorsun', '?']",['olumsuz']
146,"['turkcell', 'diye', 'allah', 'belanı', 'versin', 'yaaa', '..']",['olumsuz']
147,"['boşuna', 'vodafone', 'lu', 'olmadık', '...', 'turkcell', 'saçmalio', '...']",['olumsuz']
148,"['ölmüş', 'başımız', 'sağolsun', '.', 'katlettiğiniz', 'için', 'teşekkürler', 'turkcell']",['olumsuz']
149,"['benim', 'o', 'sahur', 'paketine', 'ihtiyacim', 'vardi', 'neden', 'böyle', 'yaptin', 'turkcell']",['olumsuz']
150,"['ne', 'demek', 'bu', 'sene', 'sana', 'sahur', 'paketi', 'yok', 'tamam', 'turkcell', 'sus', 'turkcell', 'konuşma', 'turkcell']",['olumsuz']
151,"['abi', 'nasıl', 'operatör', 'nasıl', 'internetsin', 'anlamadımki', 'o', 'kadar', 'iyi', 'reklam', 'yapıyorsun', 'ama', 'bi', 'de', 'doğru', 'düzgün', 'çekmiyorsunturkcell', 'turkcellhizmet']",['olumsuz']
152,"['turkcell', 'tamam', 'her', 'yerde', 'cekiyosun', 'ama', 'çok', 'pahalısın', 'yav']",['olumsuz']
153,"['önceden', 'yaptığım', 'sınırsız', 'facebook', 'paketini', '500', 'mbye', 'düşürdünya', 'turkcell', 'seninle', 'ayrılma', 'vakti', 'geldi', 'galiba']",['olumsuz']
154,"['turkcell', '45', 'dkdır', 'ulaşmaya', 'calışıyorum', '?', '?', '?', '?', 'mhz', '?', '?', '?', '?']",['olumsuz']
155,"['turkcell', 'ödemeli', 'neden', 'aranır', 'sizce', 'tl', 'olmadığı', 'için', 'dimi', ',', 'ödemeli', 'aramak', 'için', 'bile', 'ücret', 'talep', 'ediyorsunuz', '.', '+']",['olumsuz']
156,"['turkcellhizmet', 'bu', 'nasil', 'bi', '3g', 'hizidir', 'turkcell', '!', 'heryerde', 'ceker', 'diosunuz', '2', 'saattir', '1', 'dakikalik', 'videoyu', 'izleyemedim', '.']",['olumsuz']
157,"['turkcell', 'adama', 'kafayı', 'yedirir', 'hatta', 'dibini', 'bile', 'sıyırtır', '.']",['olumsuz']
158,"['turkcell', 'reklamlarınızdan', 'midem', 'bulanıyo', 'hiç', 'güzel', 'değil', 'çok', 'itici', 'reklamlar', 'daha', 'temiz', 'insanlar', 'oynatsanız', 'daha', 'iyi', 'olur']",['olumsuz']
